SUB_DETAILED_TEXT_00_1;NOT APPLICABLE: Not in quest list.
SUB_DETAILED_TEXT_43_3;Long ago, the sea-demon Leviathan robbed Faris of her great-grandfather, and Syldra of her family. Upon hearing that her nemesis has been sighted in the Low Seas, Faris and Syldra set sail for the Rainbow Shore to finally exact their revenge.[~][~]Faris succeeds in tracking down Leviathan and promptly challenges her to battle. Little does she know that her quest for vengeance is all just one big misunderstanding. Nonetheless, Leviathan can’t be bothered to explain the situation to the furious pirate, so instead she just plays along. After a fierce fight, Leviathan feigns a dramatic death and silently slips back into the sea.
SUB_DETAILED_TEXT_44_1;Stop the butcher
SUB_DETAILED_TEXT_44_2;Lightning is on the hunt for a butcher, but what she finds is a sword-wielding Mirage dead set on dueling her.
SUB_DETAILED_TEXT_44_3;Lightning is on the hunt for a butcher, but what she finds is a sword-wielding Mirage dead set on dueling her.[~][~]Lightning is pressed hard by the power of Odin’s sword. His Zantetsuken seems unbeatable, but Lightning has an ace up her sleeve. Drawing upon Ramewl’s power, she sheathes her sword in crackling electricity. Odin’s never been able to cope with a little lightning, and soon bends knee in defeat. Lightning takes up Odin’s sword, and moves on to her next assignment.
SUB_DETAILED_TEXT_45_1;Give Big Jiggle the smackdown
SUB_DETAILED_TEXT_45_2;Snow’s back in the swamp to lay the hurt on Big Jiggle...again. As usual, he summons his ally Shiva-Ixion to freeze up an ice bridge, but this time something’s got her spooked. Who is this strange Mirage that stands in their path...?
SUB_DETAILED_TEXT_45_3;Snow’s back in the swamp to lay the hurt on Big Jiggle...again. As usual, he summons his ally Shiva-Ixion to freeze up an ice bridge, but this time something’s got her spooked. Who is this strange Mirage that stands in their path...?[~][~]Shivalry is the name of justice, and he serves it up ice-cold. Convinced that Shiva-Ixion has been corrupted by the Cogna, he moves in to cleanse this stain on the shiva tribe’s name.[~][~]After fending the misguided do-gooder off, Snow manages to convince him that Shiva-Ixion is, in fact, not a festering well of evil. With Shivalry’s aid and Lightning’s timely arrival, the party manages to give the Big Jiggle an epic beatdown.
SUB_DETAILED_TEXT_46_1;Conquer Rydia’s fear of the flames
SUB_DETAILED_TEXT_46_2;You must face your fears in order to overcome them. In Rydia’s case, that means walking into Valley Seven and facing the biggest, baddest burning hunk of Mirage she can find. Luckily, she has Yuna with her for emotional support.
SUB_DETAILED_TEXT_46_3;You must face your fears in order to overcome them. In Rydia’s case, that means walking into Valley Seven and facing the biggest, baddest burning hunk of Mirage she can find. Luckily, she has Yuna with her for emotional support.[~][~]It turns out the hottest Mirage of them all is a bad little ifrit by the name of Ifreeta. Together, Rydia and Yuna manage to beat back Ifreeta’s flames, and Rydia leaves Valley Seven with a little more control over her phobia.
SUB_DETAILED_TEXT_47_1;Complete the League of S’s assignment
SUB_DETAILED_TEXT_47_2;The League of S agents spend a quiet moment talking about what they want to do once the Cogna are defeated. Squall realizes that he doesn’t have any dreams for the future, unlike everyone else, and starts feeling gloomy and depressed. However, there isn’t much time to mope about: new orders from Quistis send him and Shelke off to take down a dangerous Mirage.
SUB_DETAILED_TEXT_47_3;The League of S agents spend a quiet moment talking about what they want to do once the Cogna are defeated. Squall realizes that he doesn’t have any dreams for the future, unlike everyone else, and starts feeling gloomy and depressed. However, there isn’t much time to mope about: new orders from Quistis send him and Shelke off to take down a dangerous Mirage.[~][~]Consumed by the thought that he has nothing to live for but fighting, Squall begins to act dangerously reckless. Shelke steps in to give him some much-needed encouragement, and Squall realizes that if he doesn’t have a dream now, he can just think of one. Squall cheers up, and starts thinking positive.
SUB_DETAILED_TEXT_48_1;Defeat Bismarck
SUB_DETAILED_TEXT_48_2;Yuna and Tidus walk along the beach, having a delightful date—er, conversation. Wait, hold up, they have a job to do! They’re here to find Bismarck and bring it down. Time to stop talking and get searching.
SUB_DETAILED_TEXT_48_3;Yuna and Tidus walk along the beach, having a delightful date—er, conversation. Wait, hold up, they have a job to do! They’re here to find Bismarck and bring it down. Time to stop talking and get searching.[~][~]The pair’s flawless teamwork proves to be Bismarck’s undoing, but when the dust settles, Tidus is nowhere to be seen. Yuna is filled with worry, and tries her best to whistle—just like Tidus taught her—but she’s just no good at it. Her worry is about to transform into full-on panic when Tidus pops up behind her. Yuna heaves a deep sigh of relief, and the two head back home.
SUB_DETAILED_TEXT_49_1;Learn how to stop the Cogna
SUB_DETAILED_TEXT_49_2;Bartz battles valiantly against hordes of Cogna threatening a defenseless town, but he’s just one man with a chocobo watching his back. He can’t be everywhere at once... There’s got to be a way to destroy all of these pesky Cogna... What?! Gilgamesh knows how to stop them?!
SUB_DETAILED_TEXT_49_3;Bartz battles valiantly against hordes of Cogna threatening a defenseless town, but he’s just one man with a chocobo watching his back. He can’t be everywhere at once... There’s got to be a way to destroy all of these pesky Cogna... What?! Gilgamesh knows how to stop them?![~][~]Gilgamesh’s professed knowledge was just bait, a trap orchestrated by a Bahamutian soldier. Gilgamesh is shocked when he realizes he played a part in this dishonorable wretch’s plan, but he sets things right. He leaps to Bartz’s aid, and together they defeat the Bahamutian soldier.
SUB_DETAILED_TEXT_50_1;Hunt the silver-haired swordsman?
SUB_DETAILED_TEXT_50_2;Cloud and Lightning are on a mission to take down an extremely dangerous Mirage. They stop by a village where Cloud hears a rumor that a “silver-haired swordsman” passed through recently. Cloud abandons his mission to hunt this man, leaving Lightning to face the monster alone.
SUB_DETAILED_TEXT_50_3;Cloud and Lightning are on a mission to take down an extremely dangerous Mirage. They stop by a village where Cloud hears a rumor that a “silver-haired swordsman” passed through recently. Cloud abandons his mission to hunt this man, leaving Lightning to face the monster alone.[~][~]Cloud runs into Terra while pursuing his new quarry. She leaves Cloud with a choice before hurrying off to help the embattled Lightning. After a personal struggle, Cloud decides to get his priorities straight. After all, protecting what he has now is more important than seeking revenge for the past.
SUB_DETAILED_TEXT_51_1;Solve the mystery of Balamb Garden
SUB_DETAILED_TEXT_51_2;Balamb Garden, the League of S’s home base, is shrouded in mystery. Thinking that perhaps it is a creature similar to Big Bridge, Eiko, Quistis, and Squall decide to try to wake it up...
SUB_DETAILED_TEXT_51_3;Balamb Garden, the League of S’s home base, is shrouded in mystery. Thinking that perhaps it is a creature similar to Big Bridge, Eiko, Quistis, and Squall decide to try to wake it up...[~][~]Waking it up turned out to be the wrong move. Balamb Garden—Eden of Balamb—is an ancient Mirage that had put itself into a deep sleep to stop the Cogna from using it as a pathway into Grymoire. The moment it was roused the path reopened and Cogna began to pour out.[~][~]After driving the Cogna back and seeing Eden to bed, Quistis, Eiko, and Squall breathe a collective sigh of relief.
SUB_DETAILED_TEXT_52_1;Take out the terror in Tometown
SUB_DETAILED_TEXT_52_2;Cloud visits Tometown to do some research, but Cid bzeeks onto the scene and demands that Cloud and Celes put on an opera...
SUB_DETAILED_TEXT_52_3;Cloud visits Tometown to do some research, but Cid bzeeks onto the scene and demands that Cloud and Celes put on an opera...[~][~]Although Celes shuts down Cid’s proposal, she secretly loves the idea. She sneaks away from the others in order to practice for a surprise debut, when Ultros falls out of nowhere and attacks.[~][~]Celes drives off this most unpleasant of foes, but the libretto is ruined in the process. With her head hanging low, Celes is forced to give up on her operatic aspirations.
OTUKAI_DETAILED_TEXT_00_1;Deliver 1 earth hammer
OTUKAI_DETAILED_TEXT_00_2;A Cornelian soldier is in a bind, and an earth hammer is what’s needed to bang his way out of it. Bring him an earth hammer so he can fix his dented helmet!
OTUKAI_DETAILED_TEXT_00_3;A Cornelian soldier is in a bind, and an earth hammer is what’s needed to bang his way out of it. Bring him an earth hammer so he can fix his dented helmet![~][~]After handing over the earth hammer, he happily got to work whacking out the dings and dents in his helmet. Donning his now shapely helm, he seems to be in high spirits.
OTUKAI_DETAILED_TEXT_01_1;Defeat 8 goblins
OTUKAI_DETAILED_TEXT_01_2;Remnants of the Bahamutian Army have gone rogue, and now lurk about the Watchplains. Defeat 8 goblins to learn more about them.
OTUKAI_DETAILED_TEXT_01_3;Remnants of the Bahamutian Army have gone rogue, and now lurk about the Watchplains. Defeat 8 goblins to learn more about them.[~][~]After gathering sufficient data on the goblins, it seems that they won’t attack us if we don’t attack them. Let’s leave them be. Don’t poke a goblin unless it pokes you, that’s what I always say.
OTUKAI_DETAILED_TEXT_02_1;Fulfill the boy’s request
OTUKAI_DETAILED_TEXT_02_2;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s white, and fluffy, and it kinda looks like a tiny dog, but it isn’t really a dog.”
OTUKAI_DETAILED_TEXT_02_3;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s white, and fluffy, and it kinda looks like a tiny dog, but it isn’t really a dog.”[~][~]It turns out the boy wanted to see a white nakk. I guess kids just love anything cuddly.
OTUKAI_DETAILED_TEXT_03_1;Fulfill the boy’s request
OTUKAI_DETAILED_TEXT_03_2;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s water-colored, it hops around, and it goes ‘ribbit.’ It’s slimy and gross and awesome!”
OTUKAI_DETAILED_TEXT_03_3;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s water-colored, it hops around, and it goes ‘ribbit.’ It’s slimy and gross and awesome!”[~][~]It turns out the boy wanted to see a water toad. What little boy doesn’t love a good amphibian?
OTUKAI_DETAILED_TEXT_04_1;Fulfill the boy’s request
OTUKAI_DETAILED_TEXT_04_2;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s a shiny gold box with lots of diamonds! I thought it was a treasure at first, but nope!”
OTUKAI_DETAILED_TEXT_04_3;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s a shiny gold box with lots of diamonds! I thought it was a treasure at first, but nope!”[~][~]It turns out the boy wanted to see a mimic queen. I suppose treasure chests are always filled with dreams.
OTUKAI_DETAILED_TEXT_05_1;Fulfill the boy’s request
OTUKAI_DETAILED_TEXT_05_2;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s got a whole bunch of eyes, and a big mouth, and it stinks real bad.”
OTUKAI_DETAILED_TEXT_05_3;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s got a whole bunch of eyes, and a big mouth, and it stinks real bad.”[~][~]It turns out the boy wanted to see a malboro. Why in the world would anyone want to see one of these...?
OTUKAI_DETAILED_TEXT_06_1;Fulfill the boy’s request
OTUKAI_DETAILED_TEXT_06_2;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s like this huge robot you can ride around in!”
OTUKAI_DETAILED_TEXT_06_3;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s like this huge robot you can ride around in!”[~][~]It turns out the boy wanted to see a Magitek armor. He even got to ride it. What an amazing experience!
OTUKAI_DETAILED_TEXT_07_1;Fulfill the boy’s request
OTUKAI_DETAILED_TEXT_07_2;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s a big, beautiful bird that’s got all the colors of the rainbow!”
OTUKAI_DETAILED_TEXT_07_3;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s a big, beautiful bird that’s got all the colors of the rainbow!”[~][~]It turns out the boy wanted to see an iris. He wouldn’t stop talking about how he wants to ride one when he’s bigger.
OTUKAI_DETAILED_TEXT_08_1;Fulfill the boy’s request
OTUKAI_DETAILED_TEXT_08_2;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s a pretty black cat with really big eyes. I guess the only bad part is that its face is kinda scary?”
OTUKAI_DETAILED_TEXT_08_3;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s a pretty black cat with really big eyes. I guess the only bad part is that its face is kinda scary?”[~][~]It turns out the boy wanted to see a manticore. Aww, isn’t that cute? He’s squeezing it like there’s no tomorrow... Huh. When I looked into that kitty’s eyes, I thought I heard someone scream “HELP ME”...
OTUKAI_DETAILED_TEXT_09_1;Fulfill the boy’s request
OTUKAI_DETAILED_TEXT_09_2;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s a ghost with an orange mask and a really sharp choppy-thing!”
OTUKAI_DETAILED_TEXT_09_3;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s a ghost with an orange mask and a really sharp choppy-thing!”[~][~]It turns out the boy wanted to see a mordskull. Ghost or goblin, nothing scares this kid.
OTUKAI_DETAILED_TEXT_10_1;Fulfill the boy’s request
OTUKAI_DETAILED_TEXT_10_2;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s like the king of the ocean! And it’s even got built-in camouflage!”
OTUKAI_DETAILED_TEXT_10_3;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s like the king of the ocean! And it’s even got built-in camouflage!”[~][~]It turns out the boy wanted to see a mega nightsqual. Now he’s yelling about how he’ll one day ride it onto the high seas in search of adventure.
OTUKAI_DETAILED_TEXT_11_1;Fulfill the boy’s request
OTUKAI_DETAILED_TEXT_11_2;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s an old man that shoots lightning and thunder, and he always spoils his granddaughter!”
OTUKAI_DETAILED_TEXT_11_3;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s an old man that shoots lightning and thunder, and he always spoils his granddaughter!”[~][~]It turns out the boy wanted to meet Ramuh. After you left, they played together for hours. Ramuh’s really got a soft spot for kids.
OTUKAI_DETAILED_TEXT_12_1;Fulfill the boy’s request
OTUKAI_DETAILED_TEXT_12_2;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s a pretty lady covered in ice! She’s even prettier than my mom!”
OTUKAI_DETAILED_TEXT_12_3;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s a pretty lady covered in ice! She’s even prettier than my mom!”[~][~]It turns out the boy wanted to meet Shiva. Mommy was not pleased about that “prettier than my mom” thing.
OTUKAI_DETAILED_TEXT_13_1;Fulfill the boy’s request
OTUKAI_DETAILED_TEXT_13_2;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s a really tough-looking beast-man who’s always on fire! Oh, and the lightning-man’s always on his case, too.”
OTUKAI_DETAILED_TEXT_13_3;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s a really tough-looking beast-man who’s always on fire! Oh, and the lightning-man’s always on his case, too.”[~][~]It turns out the boy wanted to meet Ifrit. This is Ifrit we’re talking about, so you watched to make sure he didn’t roast the lad. Surprisingly, Ifrit is excellent with kids.
OTUKAI_DETAILED_TEXT_14_1;Fulfill the boy’s request
OTUKAI_DETAILED_TEXT_14_2;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s a big, white, really beautiful fox who’s got lots of lives!”
OTUKAI_DETAILED_TEXT_14_3;There’s a boy who simply insists on seeing all sorts of Mirages. Find the Mirage he’s after, and bring it back for a bit of show-and-tell.[~][~]“Okay, so, it’s a big, white, really beautiful fox who’s got lots of lives!”[~][~]It turns out the boy wanted to meet Tamamohimé. How in the world did he know about Tamamohimé?!
OTUKAI_DETAILED_TEXT_15_1;NOT USED
OTUKAI_DETAILED_TEXT_15_2;NOT USED
OTUKAI_DETAILED_TEXT_15_3;NOT USED
OTUKAI_DETAILED_TEXT_16_1;NOT USED
OTUKAI_DETAILED_TEXT_16_2;NOT USED
OTUKAI_DETAILED_TEXT_16_3;NOT USED
OTUKAI_DETAILED_TEXT_17_1;NOT USED
OTUKAI_DETAILED_TEXT_17_2;NOT USED
OTUKAI_DETAILED_TEXT_17_3;NOT USED
OTUKAI_DETAILED_TEXT_18_1;Deliver 3 eye drops
OTUKAI_DETAILED_TEXT_18_2;An exhausted-looking woman is complaining that her eyes hurt from working too hard. Bring her 3 eye drops to help heal those baby blues.
OTUKAI_DETAILED_TEXT_18_3;An exhausted-looking woman is complaining that her eyes hurt from working too hard. Bring her 3 eye drops to help heal those baby blues.[~][~]After giving her the eye drops, her energy levels were back to max and she happily returned to work. Remember kids, learn your limits and know when to take a break.
OTUKAI_DETAILED_TEXT_19_1;Defeat 3 cactuars
OTUKAI_DETAILED_TEXT_19_2;One youth has a dream to be the fastest there ever was. He’d love to have a footrace with a desert cactuar, but needs to know if they’re dangerous first. Take out 3 cactuars in the Phantom Sands to get a handle on just how strong they are.
OTUKAI_DETAILED_TEXT_19_3;One youth has a dream to be the fastest there ever was. He’d love to have a footrace with a desert cactuar, but needs to know if they’re dangerous first. Take out 3 cactuars in the Phantom Sands to get a handle on just how strong they are.[~][~]Once he learned that cactuars aren’t that tough, he began making preparations for a journey into the sand wastes. His duel with the cactuars draws close...[~]Wait, what about the other Mirages?
OTUKAI_DETAILED_TEXT_20_1;Imprism a flan princess
OTUKAI_DETAILED_TEXT_20_2;Flans are just the BEST, aren’t they?! Bring this flan fan the flan sovereign, Flan Princess!
OTUKAI_DETAILED_TEXT_20_3;Flans are just the BEST, aren’t they?! Bring this flan fan the flan sovereign, Flan Princess![~][~]When she laid eyes upon the flan princess, she gave a great sigh of contentment. Now her love for her jiggling idols has reached new heights... Speaking of which, isn’t the flan princess a bit too big for her to handle?
OTUKAI_DETAILED_TEXT_21_1;Deliver 5 fish scales
OTUKAI_DETAILED_TEXT_21_2;A man groans, clutching an undelivered letter tight to his chest. He yearns to confess his love to his lady, but needs 5 fish scales to do it. Help him out by becoming his fishy cupid of the sea.
OTUKAI_DETAILED_TEXT_21_3;A man groans, clutching an undelivered letter tight to his chest. He yearns to confess his love to his lady, but needs 5 fish scales to do it. Help him out by becoming his fishy cupid of the sea.[~][~]Adorned with fish scales, his love letter sparkles in the noonday sun. Now if only he had the bravery to actually give it to his sweetheart. Looks like what you need to find love is courage, not fish by-products.
OTUKAI_DETAILED_TEXT_22_1;Deliver 3 dragon wings
OTUKAI_DETAILED_TEXT_22_2;A prosperous merchant asked you to help him find 3 dragon wings. Find the fluttery things and bring them back to him.
OTUKAI_DETAILED_TEXT_22_3;A prosperous merchant asked you to help him find 3 dragon wings. Find the fluttery things and bring them back to him.[~][~]You delivered the dragon wings and safely completed the merchant’s request. Apparently, he plans on turning them into some sort of clothing accessory. How does he expect someone to walk wearing those?
OTUKAI_DETAILED_TEXT_23_1;Deliver 2 healing springs
OTUKAI_DETAILED_TEXT_23_2;When you passed by the merchant’s shop, he flagged you down and asked you to procure 2 healing springs. They’re for medicine, so why not help him out?
OTUKAI_DETAILED_TEXT_23_3;When you passed by the merchant’s shop, he flagged you down and asked you to procure 2 healing springs. They’re for medicine, so why not help him out?[~][~]You delivered the healing springs and completed the merchant’s request. You’ve helped him twice now, but it sounds like he’s still got a lot more work for you...
OTUKAI_DETAILED_TEXT_24_1;Deliver 3 lightning spellstones
OTUKAI_DETAILED_TEXT_24_2;You stopped by the friendly merchant’s shop, and once again he asked you for a favor. Find and bring him 3 lightning spellstones.
OTUKAI_DETAILED_TEXT_24_3;You stopped by the friendly merchant’s shop, and once again he asked you for a favor. Find and bring him 3 lightning spellstones.[~][~]After handing him the lightning spellstones, he quickly scurried off with them. What did he need dangerous items like that for...?
OTUKAI_DETAILED_TEXT_25_1;Deliver 5 star curtains
OTUKAI_DETAILED_TEXT_25_2;When you visited the merchant’s shop, he seemed excited. He’s thought of a way to make a new, useful item. Bring him 5 star curtains to see what he has in mind.
OTUKAI_DETAILED_TEXT_25_3;When you visited the merchant’s shop, he seemed excited. He’s thought of a way to make a new, useful item. Bring him 5 star curtains to see what he has in mind.[~][~]After giving him the star curtains, he immediately set to work. If he’s successful, he might be able to create a whole new product line. He fiddles away, an expression of deep concentration on his face...
OTUKAI_DETAILED_TEXT_26_1;Deliver 3 fire spellstones
OTUKAI_DETAILED_TEXT_26_2;As you approached the merchant’s shop, he rushed out to greet you. One of his clients wants some extremely rare items, and you’re his only hope of finding them. Bring him 3 fire spellstones.
OTUKAI_DETAILED_TEXT_26_3;As you approached the merchant’s shop, he rushed out to greet you. One of his clients wants some extremely rare items, and you’re his only hope of finding them. Bring him 3 fire spellstones.[~][~]The merchant seemed extremely pleased when you gave him the fire spellstones. It also appears he doesn’t have any more work for you.[~]But what sort of person needs a fire spellstone...?
OTUKAI_DETAILED_TEXT_27_1;Deliver 3 bomb fragments
OTUKAI_DETAILED_TEXT_27_2;A researcher is in a bind, and needs 3 bomb fragments to finish her experiment. Help her science harder by bringing her those fragments.
OTUKAI_DETAILED_TEXT_27_3;A researcher is in a bind, and needs 3 bomb fragments to finish her experiment. Help her science harder by bringing her those fragments.[~][~]A huge smile broke across the researcher’s face when you gave her the fragments. You hear that her work is going well, but what could she be researching?
OTUKAI_DETAILED_TEXT_28_1;Defeat 5 Mirages in Valley Seven
OTUKAI_DETAILED_TEXT_28_2;Dangerous Mirages have been proliferating in the steamy depths of Valley Seven. The town’s soldiers have their hands full, so go and take out 5 Mirages in their stead.
OTUKAI_DETAILED_TEXT_28_3;Dangerous Mirages have been proliferating in the steamy depths of Valley Seven. The town’s soldiers have their hands full, so go and take out 5 Mirages in their stead.[~][~]Thanks to your valiant efforts, Valley Seven is quiet once more. With the deadly Mirages gone, the soldiers should be able to keep the town safe and sound.
OTUKAI_DETAILED_TEXT_29_1;Deliver 3 dragon scales
OTUKAI_DETAILED_TEXT_29_2;An elderly woman waved you over and asked for 3 dragon scales to give her grandson as a birthday present. Help her make his birthday an extra-special one.
OTUKAI_DETAILED_TEXT_29_3;An elderly woman waved you over and asked for 3 dragon scales to give her grandson as a birthday present. Help her make his birthday an extra-special one.[~][~]After handing over the dragon scales, the elderly woman left to give them to the birthday boy. No doubt he’ll be absolutely delighted.
OTUKAI_DETAILED_TEXT_30_1;Imprism a lady Mirage
OTUKAI_DETAILED_TEXT_30_2;You met a dancer who feels like she’s lost her edge, and is looking for a glamorous Mirage to teach her some new moves. Bring her a lady Mirage to help her reclaim that boogie mojo.
OTUKAI_DETAILED_TEXT_30_3;You met a dancer who feels like she’s lost her edge, and is looking for a glamorous Mirage to teach her some new moves. Bring her a lady Mirage to help her reclaim that boogie mojo.[~][~]The dancer took one glance at the Mirage you brought, broke out into a huge smile, and shimmied off. Did she really learn something from all of this?
OTUKAI_DETAILED_TEXT_31_1;Defeat 5 red captains
OTUKAI_DETAILED_TEXT_31_2;An irritated young woman has a mouthful to say about some nasty Mirages standing between her and a good cup of tea. Chase off the 5 red captains in the Watchplains that keep upturning her tea shipments!
OTUKAI_DETAILED_TEXT_31_3;An irritated young woman has a mouthful to say about some nasty Mirages standing between her and a good cup of tea. Chase off the 5 red captains in the Watchplains that keep upturning her tea shipments![~][~]Now that those bothersome Mirages are gone, it seems like the tea lover can finally have her teatime.
OTUKAI_DETAILED_TEXT_32_1;Defeat 3 malboros
OTUKAI_DETAILED_TEXT_32_2;You would think one band of tea thieves would be the end of it, but you’d be wrong! This time 3 repugnant malboros have been raiding tea shipments in the Windswept Mire, and our tea lover needs you to see that they never touch her tea again.
OTUKAI_DETAILED_TEXT_32_3;You would think one band of tea thieves would be the end of it, but you’d be wrong! This time 3 repugnant malboros have been raiding tea shipments in the Windswept Mire, and our tea lover needs you to see that they never touch her tea again.[~][~]With the malboros gone, tea shipments should resume. But really, her tea shipments were attacked twice? That must be some really tasty tea.
OTUKAI_DETAILED_TEXT_33_1;Defeat 5 unicorns
OTUKAI_DETAILED_TEXT_33_2;A cart carrying mounds and mounds of tea leaves is approaching town, but a group of Mirages has set its sights on it. Head out, deal with the 5 unicorns in the Crystal Tower, and protect that tea!
OTUKAI_DETAILED_TEXT_33_3;A cart carrying mounds and mounds of tea leaves is approaching town, but a group of Mirages has set its sights on it. Head out, deal with the 5 unicorns in the Crystal Tower, and protect that tea![~][~]The heavily laden cart of delectable tea has finally arrived! Beset by Mirages at every turn, your valiant efforts nonetheless saw it safely to its destination. Finally, a lady can enjoy her tea in peace.
OTUKAI_DETAILED_TEXT_34_1;Defeat 10 sand worms
OTUKAI_DETAILED_TEXT_34_2;You struck up a conversation with a bored-looking soldier, and he complained that injuries were keeping him from hunting down some beasties. Hey, mind taking out 10 sand worms in the Phantom Sands in his stead?
OTUKAI_DETAILED_TEXT_34_3;You struck up a conversation with a bored-looking soldier, and he complained that injuries were keeping him from hunting down some beasties. Hey, mind taking out 10 sand worms in the Phantom Sands in his stead?[~][~]When you told him you handled the sand worms, he actually jumped for joy. He seems quite lively for an injured man. Wait, was that someone watching from the shadows...?
OTUKAI_DETAILED_TEXT_35_1;Defeat 6 minotaurs
OTUKAI_DETAILED_TEXT_35_2;An extremely friendly merchant asked you to give a spanking to some troublesome Mirages hindering commerce. Take out 6 minotaurs on Big Bridge for the sake of the economy.
OTUKAI_DETAILED_TEXT_35_3;An extremely friendly merchant asked you to give a spanking to some troublesome Mirages hindering commerce. Take out 6 minotaurs on Big Bridge for the sake of the economy.[~][~]With the Mirages dealt with, the roads are once again safe to travel. But honestly, this particular merchant probably could have handled a few minotaurs alone...
OTUKAI_DETAILED_TEXT_36_1;Defeat 10 Mirages in the Train Graveyard
OTUKAI_DETAILED_TEXT_36_2;Mirages are swarming in the Train Graveyard, endangering the town. Head to the Train Graveyard and take out 10 Mirages to ensure the town’s safety.
OTUKAI_DETAILED_TEXT_36_3;Mirages are swarming in the Train Graveyard, endangering the town. Head to the Train Graveyard and take out 10 Mirages to ensure the town’s safety.[~][~]After thinning out their numbers, the Train Graveyard has returned to normal. The town is safe for another day.
OTUKAI_DETAILED_TEXT_37_1;Deliver 1 wind spellstone and 1 earth spellstone
OTUKAI_DETAILED_TEXT_37_2;A man in Tometown told you he desperately needs spellstones for his research. Give him 1 wind spellstone and 1 earth spellstone, and see if that solves his problem.
OTUKAI_DETAILED_TEXT_37_3;A man in Tometown told you he desperately needs spellstones for his research. Give him 1 wind spellstone and 1 earth spellstone, and see if that solves his problem.[~][~]After thanking you, the researcher hurriedly returned to his work. It looks like he just dropped something. Will he be okay...?
OTUKAI_DETAILED_TEXT_38_1;Imprism an undead Mirage
OTUKAI_DETAILED_TEXT_38_2;A pale, ghastly-looking man is wandering aimlessly about town. It turns out he just loves spooky things, and begs you to show him a scary Mirage. Imprism and show him an undead Mirage, and see what happens.
