COMMON_EMPTY;<EMPTY>
CONFIG_MENU_COMMAND_SLOW;Slower
CONFIG_MENU_COMMAND_ON;On
CONFIG_MENU_COMMAND_OFF;Off
CONFIG_MENU_COMMAND_BIG;Large
CONFIG_MENU_COMMAND_SMALL;Small
CONFIG_MENU_COMMAND_PLUS;+
CONFIG_MENU_COMMAND_MINUS;-
CONFIG_MENU_COMMAND_ACTIVE;Active
CONFIG_MENU_COMMAND_WAIT;Wait
CONFIG_MENU_COMMAND_SEMI_ACTIVE;Semi-active
CONFIG_MENU_COMMAND_JAPANESE;Japanese
CONFIG_MENU_COMMAND_ENGLISH;English
CONFIG_MENU_COMMAND_MOMENTARY;Hold
CONFIG_MENU_COMMAND_ALTERNATE;Toggle
CONFIG_NOTICE_DLC;STEAM NOT USED
CONFIG_NOTICE_FIRST;Restore all settings to their defaults?
CONFIG_NOTICE_VOICE_CHANGE;This option must be changed on the Title Screen.
CONFIG_HELP_MESSAGE00;Change the message display speed.
CONFIG_HELP_MESSAGE01;Choose whether to display character names above subtitles.
CONFIG_HELP_MESSAGE02;Choose whether or not to display the minimap.
CONFIG_HELP_MESSAGE03;Turn controller vibration on or off.
CONFIG_HELP_MESSAGE04;Change the game’s battle mode.
CONFIG_HELP_MESSAGE05;Change the speed at which battles proceed.
CONFIG_HELP_MESSAGE06;Choose the music that plays during battles.
CONFIG_HELP_MESSAGE07;Change the music that plays when invoking Champions.
CONFIG_HELP_MESSAGE08;Change the voice language.
CONFIG_HELP_MESSAGE09;Turn voiced dialogue in cutscenes and the field on or off.
CONFIG_HELP_MESSAGE10;Set the voice volume.
CONFIG_HELP_MESSAGE11;Set the music volume.
CONFIG_HELP_MESSAGE12;Set the sound effect volume.
CONFIG_HELP_MESSAGE13;STEAM NOT USED
CONFIG_MENU_14;Battle Menu
CONFIG_MENU_COMMAND_SIMPLE;Basic
CONFIG_MENU_COMMAND_CLASSIC;Classic
CONFIG_HELP_MESSAGE14;Choose the menu layout you start battles with.
CONFIG_MENU_15;Fast-Forward
CONFIG_HELP_MESSAGE15;Choose whether or not the fast-forward button needs to be held down.
CONFIG_MENU_16;NOT USED
CONFIG_HELP_MESSAGE16;NOT USED
CONFIG_MENU_SUMMON_NORMAL;NOT USED
CONFIG_MENU_SUMMON_SHORT;NOT USED
OVER_NOTICE_MIRASTONE00_00;You cannot carry any more mirajewels. Review your current stock.
OVER_NOTICE_MIRASTONE00_01;Go to the mirajewel screen.
OVER_NOTICE_MIRASTONE00_02;Abandon this mirajewel.
OVER_NOTICE_GEM00_00;You cannot carry any more of this.
MINIGAME_00;Minigames
MINIGAME_01;Einhänder Invasion
MINIGAME_02;Shooter
MINIGAME_03;Sandstalker
MINIGAME_04;Whack-a-Cactuar
MINIGAME_05;Nebula Storm
BATTLE_BGM00;Normal Battle 1
BATTLE_BGM01;Normal Battle 2
BATTLE_BGM02;Boss Battle 1
BATTLE_BGM03;Boss Battle 2
BATTLE_BGM04;Boss Battle 3
BATTLE_BGM05;Final Battle 1
BATTLE_BGM06;Final Battle 2
BATTLE_BGM07;Champion Theme: Warrior of Light
BATTLE_BGM08;Champion Theme: Refia
BATTLE_BGM09;Champion Theme: Bartz
BATTLE_BGM10;Champion Theme: Celes
BATTLE_BGM11;Champion Theme: Terra
BATTLE_BGM12;Champion Theme: Cloud
BATTLE_BGM13;Champion Theme: Tifa
BATTLE_BGM14;Champion Theme: Shelke
BATTLE_BGM15;Champion Theme: Squall
BATTLE_BGM16;Champion Theme: Tidus
BATTLE_BGM17;Champion Theme: Yuna
BATTLE_BGM18;Champion Theme: Shantotto
BATTLE_BGM19;Champion Theme: Snow
BATTLE_BGM20;Champion Theme: Lightning
BATTLE_BGM21;Boss Battle 4
BATTLE_BGM22;Champion Theme: Sephiroth
BATTLE_BGM23;Champion Theme: Sora
BATTLE_BGM24;Champion Theme: Balthier
BATTLE_BGM25;Default
BATTLE_BGM26;Random
DICTIONARY_COMPLETE_RATE;Completed
MIRAGE_COMPLETE_RATE;Mirages Collected
DICTIONARY_KIND;Type
DICTIONARY_HELP_MESSAGE_00;View information about the Mirage.
DICTIONARY_HELP_MESSAGE_01;Select a Mirage.
DICTIONARY_PERCENT;%
DICTIONARY_BACKGROUND;Backdrop
DICTIONARY_MOTION;Animation
DICTIONARY_VOICE;Voice
DICTIONARY_VOICE_PLAYBACK;Play Voice
DICTIONARY_MOTION_PLAYBACK;Play Animation
DICTIONARY_CAMERA_RESET;Reset Camera
DICTIONARY_ICON_01;<STR ICON1>[i450]<STR ICON2>
CHARACTER_DICTIONARY_HELP_MESSAGE_00;Select a character.
CHARACTER_DICTIONARY_HELP_MESSAGE_01;Displaying character biography.
LIBRARY_HELP_MESSAGE_00;View information about the Mirages you have collected.
LIBRARY_HELP_MESSAGE_01;View information about the characters you have met.
LIBRARY_HELP_MESSAGE_02;View a variety of useful tips.
LIBRARY_HELP_MESSAGE_03;Select the information you want to view.
TIPS_HELP_MESSAGE_LIST_TITLE;Select the tip you want to view.
TIPS_NUM_PER_NUM_PARAM_TAG;<NUM PER_PARAM1>/<NUM PER_PARAM2>
TIPS_PEGE_CHANGE;Turn Pages
SORT_SIZE;By Size
SORT_LEVEL;By Level
SORT_GET;Order Acquired
SORT_ID;By Mirage No.
SORT_DOSSIRI;By Weight
SORT_SIZE_HELP;Arrange your Mirages by size.
SORT_LEVEL_HELP;Arrange your Mirages by level.
SORT_ID_HELP;Arrange your Mirages by the order they are listed in the Mirage Manual.
SORT_DOSSIRI_HELP;Arrange your Mirages by weight.
NOWLOADING_MESSAGE;Loading
NOWLOADING_MESSAGE_01;.
TELEPOSTONE_MSG;Return to the entrance?
CROSSSAVE_00;STEAM NOT USED
CROSSSAVE_HELP_MESSAGE_00;STEAM NOT USED
CROSSSAVE_UPLOAD_00;STEAM NOT USED
CROSSSAVE_HELP_MESSAGE_UPLOAD_00;STEAM NOT USED
CROSSSAVE_QUESTION_UPLOAD_00;STEAM NOT USED
CROSSSAVE_QUESTION_UPLOAD_01;STEAM NOT USED
CROSSSAVE_DOWNLOAD_00;STEAM NOT USED
CROSSSAVE_HELP_MESSAGE_DOWNLOAD_00;STEAM NOT USED
CROSSSAVE_QUESTION_DOWNLOAD_00;Any unsaved progress will be lost. Are you sure?
CROSSSAVE_NOTICE_DOWNLOAD_00;STEAM NOT USED
AIR_LOAD_HELP_MESSAGE_00;Where do you want to go?
LIBRAR_SIZE;Size
LIBRAR_SIZE_S;S
LIBRAR_SIZE_M;M
LIBRAR_SIZE_L;L
LIBRAR_SIZE_Ex;XL
MOVIE_HELP_00;Select the scene you want to watch.
MOVIE_QUESTION_00;End playback?
MOVIE_QUESTION_01;Return to the Title Screen?
MOVIE_QUESTION_02;Stop Playback
AREANA_HELP_00;Select an opponent.
AREANA_LV;LV <NUM PARAM>
AREANA_REWARD;Reward: [#ffffff73]<MESID00 ITEM>[/#]
AREANA_NAME;<STR MIRAGENAME>
AREANA_QUESTION_CHALLENGE;Attempt “<STR MIRAGENAME>”?
AREANA_CHALLENGE_ERROR_00;Complete the Prologue to unlock this arena.
AREANA_CHALLENGE_ERROR_01;Complete Chapter 1 to unlock this arena.
AREANA_CHALLENGE_ERROR_02;Complete Chapter 2 to unlock this arena.
AREANA_CHALLENGE_ERROR_03;Complete Chapter 3 to unlock this arena.
AREANA_CHALLENGE_ERROR_04;Complete Chapter 4 to unlock this arena.
AREANA_CHALLENGE_ERROR_05;Complete Chapter 5 to unlock this arena.
AREANA_CHALLENGE_ERROR_06;Complete Chapter 6 to unlock this arena.
AREANA_CHALLENGE_ERROR_07;Complete Chapter 7 to unlock this arena.
AREANA_CHALLENGE_ERROR_08;Complete Chapter 8 to unlock this arena.
AREANA_CHALLENGE_ERROR_09;Complete Chapter 9 to unlock this arena.
AREANA_CHALLENGE_ERROR_10;Complete Chapter 10 to unlock this arena.
AREANA_CHALLENGE_ERROR_11;Complete Chapter 11 to unlock this arena.
AREANA_CHALLENGE_ERROR_12;Complete Chapter 12 to unlock this arena.
AREANA_CHALLENGE_ERROR_13;Complete Chapter 13 to unlock this arena.
AREANA_CHALLENGE_ERROR_14;Complete Chapter 14 to unlock this arena.
AREANA_CHALLENGE_ERROR_15;Complete Chapter 15 to unlock this arena.
AREANA_CHALLENGE_ERROR_16;Complete Chapter 16 to unlock this arena.
AREANA_CHALLENGE_ERROR_17;Complete Chapter 17 to unlock this arena.
AREANA_CHALLENGE_ERROR_18;Complete Chapter 18 to unlock this arena.
AREANA_CHALLENGE_ERROR_19;Complete Chapter 19 to unlock this arena.
AREANA_CHALLENGE_ERROR_20;Complete Chapter 20 to unlock this arena.
AREANA_CHALLENGE_ERROR_21;Complete Chapter 21 to unlock this arena.
AREANA_CHALLENGE_ERROR_22;Complete Chapter 22 to unlock this arena.
AREANA_CHALLENGE_SORTGUIDE_01;Default
AREANA_CHALLENGE_SORTGUIDE_02;By Level
AREANA_CHALLENGE_SORTGUIDE_03;Incomplete First
AREANA_CHALLENGE_SORTGUIDE_04;Complete First
STATUS_KUZURENIKUSA;Stability
STATUS_KUZURENIKUSA_FUTUU;Average
STATUS_KUZURENIKUSA_YAYA;Weak
STATUS_KUZURENIKUSA_SOKOSOKO;Good
STATUS_KUZURENIKUSA_ANTEI;Excellent
TITLE_MESSAGE_00;New Game
TITLE_MESSAGE_01;Continue
TITLE_MESSAGE_02;STEAM NOT USED
TITLE_MESSAGE_03;STEAM NOT USED
TITLE_MESSAGE_04;STEAM NOT USED
TITLE_MESSAGE_05;STEAM NOT USED
TITLE_MESSAGE_06;NOT USED
TITLE_MESSAGE_07;NOT USED
TITLE_MESSAGE_08;New Save Data
TITLE_MESSAGE_09;STEAM NOT USED
TITLE_MESSAGE_10;STEAM NOT USED
TITLE_MESSAGE_11;STEAM NOT USED
TITLE_MESSAGE_12;STEAM NOT USED
TITLE_PRESS_ANY_BUTTON;PRESS ANY BUTTON
TITLE_CROSSSAVE_00;STEAM NOT USED
TITLE_CROSSSAVE_01;STEAM NOT USED
TITLE_CROSSSAVE_HELP_MESSAGE;STEAM NOT USED
TITLE_CROSSSAVE_NOTICE_UPLOAD;STEAM NOT USED
TITLE_CROSSSAVE_NOTICE_DOWNLOAD;STEAM NOT USED
TITLE_CROSSSAVE_WARNING_UPLOAD;STEAM NOT USED
TITLE_CROSSSAVE_UPLOAD_END;STEAM NOT USED
TITLE_CROSSSAVE_WARNING_DOWNLOAD;STEAM NOT USED
TITLE_CROSSSAVE_DOWNLOAD_END;STEAM NOT USED
TITLE_CROSSSAVE_DAMAGE_DATA;The save data is corrupt.
TITLE_CROSSSAVE_NO_DETA;No save data
TITLE_CROSSSAVE_CONNECTING;Connecting...
TITLE_ERROR_00;Theater Mode relies on your save data from the main game.[~][~]Please be aware that starting a New Game or[~]updating your save data to an earlier point in the story[~]can cause scenes in Theater Mode to become locked again.
TITLE_ERROR_01;NOT USED
TITLE_ERROR_02;Create new save data and overwrite the corrupt data?[~](You cannot start the game without creating save data.)
TITLE_ERROR_03;NOT USED
TITLE_ERROR_04;NOT USED
TITLE_ERROR_05;STEAM NOT USED
TITLE_ERROR_06;STEAM NOT USED
TITLE_ERROR_07;Unable to read downloadable content.[~]If you proceed, the content may not be available in the game.
TITLE_ERROR_08;NOT USED
TITLE_ERROR_09;STEAM NOT USED
TITLE_ERROR_10;STEAM NOT USED
TITLE_ERROR_11;A new version is available.[~]Please update to the latest version and try again.
TITLE_DOWNLOAD_HELP;STEAM NOT USED
COPY_RIGHT_MESSAGE;STEAM NOT USED
TITLE_WARNING_MESSAGE;STEAM NOT USED
TITLE_GAME_VERSION;Ver <NUM PARAM>
TITLE_VOICE_ANNOUNCE;STEAM NOT USED
TITLE_LINKAGE_00;STEAM NOT USED
TITLE_LINKAGE_01;STEAM NOT USED
TITLE_LINKAGE_ERROR_00;STEAM NOT USED
NPC_QUEST_RECEIVE_00;Accept this quest? (<MESID00 PURPOSEMES>)
NPC_QUEST_RECEIVE_01;Yes
NPC_QUEST_RECEIVE_02;No
NPC_QUEST_RECEIVE_03;Objectives met: “<STR QUESTNAME>”
NPC_QUEST_RECEIVE_04;Accept the request to find [#ffffff73]<NUM PARAM> <MESID05 ITEMNAME>[/#]?
NPC_QUEST_RECEIVE_05;Accept the request to hunt <MESID05 MIRAGENAME>?
NPC_QUEST_RECEIVE_06;Accept the request to find [#ffffff73]<NUM PARAM> <MESID05 ITEMNAME>[/#][~]and [#ffffff73]<NUM PARAM02> <MESID05 ITEMNAME02>[/#]?
QUEST_ACHIEVEMENT_MESSAGE_MULTI;Obtained [#ffffff73]<NUM COUNT> <MESID05 NAME>[/#] as a reward.
QUEST_ACHIEVEMENT_MESSAGE_SINGLE;Obtained <MESID04 NAME>[#ffffff73]<MESID01 NAME>[/#] as a reward.
QUEST_ACHIEVEMENT_OVER_MULTI;You cannot carry any more <MESID05 NAME>.
QUEST_ACHIEVEMENT_OVER_SINGLE;You cannot carry any more <MESID05 NAME>.
QUEST_ACHIEVEMENT_MESSAGE_GIL;Obtained <NUM COUNT> gil as a reward.
TSS_MESSAGE_TEST;Viewing information about downloadable content.
TSS_ADD_MESSAGE_00;New intervention quests available.
TSS_ADD_MESSAGE_01;New Mirages available.
TSS_ADD_MESSAGE_02;Obtained a [#ffffff73]Coliseum ticket[/#] for the cactuar johnny.
TSS_ADD_MESSAGE_03;Obtained a [#ffffff73]Coliseum ticket[/#] for the white chocobo.
TSS_ADD_MESSAGE_04;Obtained a [#ffffff73]Coliseum ticket[/#] for the glow moogle.
TSS_ADD_MESSAGE_05;Obtained a [#ffffff73]Coliseum ticket[/#] for the red bonnetberry.
TSS_ADD_MESSAGE_06;Obtained a [#ffffff73]Coliseum ticket[/#] for the kobold mimic.
TSS_ADD_MESSAGE_07;Obtained a [#ffffff73]Coliseum ticket[/#] for the dark behemoth.
TSS_ADD_MESSAGE_08;Obtained a [#ffffff73]Coliseum ticket[/#] for the sky dragon.
TSS_ADD_MESSAGE_09;Obtained a [#ffffff73]Coliseum ticket[/#] for the crimson armor.
TSS_ADD_MESSAGE_10;Obtained a [#ffffff73]Coliseum ticket[/#] for the topaz carbuncle.
TSS_ADD_MESSAGE_11;Obtained a [#ffffff73]Coliseum ticket[/#] for the kaguya flan.
TSS_ADD_MESSAGE_12;Obtained a [#ffffff73]Coliseum ticket[/#] for the iris.
TSS_ADD_MESSAGE_13;Obtained a [#ffffff73]Coliseum ticket[/#] for the nidhogg.
TSS_ADD_MESSAGE_14;Obtained a [#ffffff73]Coliseum ticket[/#] for the astraea.
TSS_ADD_MESSAGE_15;Obtained a [#ffffff73]Coliseum ticket[/#] for 2P Tama.
TSS_ADD_MESSAGE_16;Obtained a [#ffffff73]Coliseum ticket[/#] for 2P Serafie.
TSS_ADD_MESSAGE_17;Obtained a [#ffffff73]Coliseum ticket[/#] for the Magitek armor P.
TSS_ADD_MESSAGE_18;Obtained a [#ffffff73]Coliseum ticket[/#] for Boko.
TSS_ADD_MESSAGE_19;Obtained a [#ffffff73]Coliseum ticket[/#] for Miney.
TSS_ADD_MESSAGE_20;Obtained a [#ffffff73]Coliseum ticket[/#] for Mo.
TSS_ADD_MESSAGE_21;Obtained a [#ffffff73]secret memory[/#].
TSS_ADD_MESSAGE_22;Obtained [#ffffff73]Sephiroth’s Champion Medal[/#].
TSS_ADD_MESSAGE_23;NOT USED
TSS_ADD_MESSAGE_24;Obtained [#ffffff73]Balthier’s Champion Medal[/#].
TSS_ADD_MESSAGE_25;Obtained [#ffffff73]Sora’s Champion Medal[/#].
TSS_ADD_MESSAGE_26;Obtained RESERVED.
TSS_ADD_MESSAGE_27;Obtained RESERVED.
TSS_ADD_MESSAGE_28;Obtained RESERVED.
TSS_ADD_MESSAGE_29;Obtained RESERVED.
TSS_ADD_MESSAGE_30;Obtained RESERVED.
TSS_ADD_MESSAGE_31;Obtained RESERVED.
TSS_ADD_MESSAGE_32;Obtained RESERVED.
TSS_ADD_MESSAGE_33;Obtained RESERVED.
BED_MSG_01;Would you like to rest?
BED_MSG_02;HP/AP restored.
PLAYGO_DOWNLOADING;Downloading...
PLAYGO_SAVEDATA_LOAD;Installing... Please wait...
BADGE_RELEASE_MESSAGE;<MESID02 NAME>[#ffffff73]<MESID00 NAME>’s Champion Medal[/#] has been unlocked.[~]You can purchase it from The Girl Who Forgot Her Name.
PARTY_LEAVE;Reynn and her stacks have left the party.
QUEST_RESTRICTION;This quest is not available yet.
