CHARACTER_JITEN_01_VOICEACTOR;CV: Josh Keaton / Soma Saito
CHARACTER_JITEN_14_3;"[#ff368c79]A Fallen God[/#][~]The Girl came from outside the Realms of Fantasy created by Alexander (Enna Kros)
CHARACTER_JITEN_14_4;[#ff368c79](Probably) Safe[/#][~]Naturally, the Girl was the one to answer Tamamohimé’s call and help change Grymoire’s history, but the laws she leveraged to do so are alien to Grymoire and thus will not be expounded upon here.[~][~]A very small number of you may have been to the Girl’s original world before. And so an even smaller number may be curious: can the Sigma act upon Enna Kros’s Realms of Fantasy? The answer is no... At least, that’s not supposed to happen.[~][~]
CHARACTER_JITEN_14_5;[#ff368c79]Her True Identity[/#][~]Originally, her soul belonged to a girl who [f2]did[/f] have a name. In the world of Sigma Harmonics, this girl brought about a great miracle, but paid the price for it and became a sort of demi-demon: one with the power to meddle with history. After these events, she and the boy who was banished with her to the rift had their fates altered yet again, and became demon gods.[~][~]
CHARACTER_JITEN_14_6;[#ff368c79]Pocket of the Universe[/#][~]Before arriving in the strange space adjacent to Grymoire along with her big clock, the Girl had to travel there from the Extraverse. One such pathway was opened after the diabolos-king lost control of his own power over fantasy.[~][~]You might say something rather...[f2]big[/f]...happened in the world of the diabolos (largely due to the actions of Aris, a young man whose form Alexander sometimes takes). The Girl ended up fusing her powers of time with the diabolos’ powers of fantasy and creating a pocket in the universe from which she could control both.[~][~]It was in that world that Enna Kros (Alexander) gained her power to create the Realms of Fantasy, and ever since she and the Girl have been friends.[~][~]
CHARACTER_JITEN_14_7;[#ff368c79]Gods Get Around[/#][~]Enna Kros has her fingers in more than one dimensional pie, but she’s certainly not the only god with the power to traverse a multitude of worlds. Gods (like cats) get around. This means some pretty legitimate deities end up passing through the A-Worlds now and then. Thankfully, Enna Kros is laid-back and likeable enough that she (usually? mostly?) gets along with the rest of divine society without too much trouble.[~][~]But even if enemies do appear, gods or otherwise, she has built the A-Worlds to be nigh impervious to invaders. (The fact that it took the godlike Exnine Knights as long as it did to get even one foot in the door is testament to that.) A being on a higher plane might change the situation, but that’s why Alexander is seeking to become just such a god...by creating infinite Realms of Fantasy. It’s about quantity, not just quality.[~][~]
CHARACTER_JITEN_15_VOICEACTOR;CV: Grant George / Toshihiko Seki
CHARACTER_JITEN_15_ORIGINAL;First Worlds of Origin:[~][f2]FINAL FANTASY[/f] : As one of four heroes[~][f2]DISSIDIA -FINAL FANTASY-[/f] : As a distinct character[~]
CHARACTER_JITEN_15_1;[#ff368c79]Age in Grymoire:[/#] 20[~][~][#ff368c79]Notes:[/#] Stalwart soldier / Role model / Brigade captain[~][~]
CHARACTER_JITEN_15_2;[#ff368c79]From Medium to Champion[/#][~]This legendary hero fights for truth, justice, and the Cornelian way.[~][~]When we first met the Warrior of Light, he was just another brigade captain in Cornelia’s royal army. However, after being touched by the twins’ mysterious light, he awakened as a Champion.[~][~]
CHARACTER_JITEN_15_3;[#ff368c79]Where Are the Other Warriors?[/#][~]In Grymoire, it was a nameless soldier who awakened as the Warrior of Light.[~][~]But the Warriors of Light take many forms in many worlds. Perhaps you know of a few yourself. And perhaps those other Warriors may set foot in Grymoire one day, if they have not already.[~][~]
CHARACTER_JITEN_15_4;[#ff368c79]Soul Searching[/#][~]Grymoire’s creator has marked certain people with unique and powerful souls as Mediums. Each Medium is a candidate with the potential to awaken as one of Grymoire’s greatest defenders, the Champions.[~][~]These souls are chosen from many worlds and copied over to an “A-World” like Grymoire in order to potentially become its Champion. But for the system to work, their lives must be reconstructed and adapted to the target world without changing the elements of their souls that made them so valuable in the first place.[~][~]Interestingly, though, they often go on to lead lives similar to those of their originals. They are not supposed to remember who or what they once were... But over innumerable years and innumerable lives, some of these recreated souls seem to retain hazy memories of lives past. The Warrior of Light is one such special case, but in Grymoire, he is not the only one.[~][~]
CHARACTER_JITEN_16_VOICEACTOR;CV: Brooke Lyons / Harumi Ichiryusai
CHARACTER_JITEN_16_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY[/f][~]
CHARACTER_JITEN_16_1;[#ff368c79]Age in Grymoire:[/#] 21[~][~][#ff368c79]Notes:[/#] Determined ruler of Cornelia / Elegant, kind, and polite / Disguises herself as a commoner to visit town[~][~]
CHARACTER_JITEN_16_2;"[#ff368c79]Streetwise Sovereign[/#][~]Princess Sarah isn’t one to warm a throne. The princess is convinced the only way to truly know her people is to walk among them.[~][~]One moment she’s sneaking off into town
CHARACTER_JITEN_16_3;[#ff368c79]Summoners and Early Cornelia[/#][~]Legend says that the founder of Cornelia was a summoner, but Princess Sarah has inherited none of those abilities. Not that surprising, since in Grymoire, and especially among the Lilikin, such powers are rarely passed along family lines. In most cases, a summoner is chosen by an esper who recognizes her worth.[~][~]Records show that after Cornelia’s first age, no summoners have been born in the kingdom. As a result, the guardian and familiar of the kingdom itself, the Lute of Ragnarok, has lain in a deep sleep for generations.[~][~]
CHARACTER_JITEN_16_4;NOT USED
CHARACTER_JITEN_17_VOICEACTOR;CV: Julie Nathanson / Seiko Ueda
CHARACTER_JITEN_17_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY XIII-2[/f][~]
CHARACTER_JITEN_17_1;[#ff368c79]Age in Grymoire:[/#] Immeasurable[~][~][#ff368c79]Notes:[/#] Wears glasses just for show / Washes from world to world / Chocolatte Mart proprietor / Chocochick / Choco-boco-lina? / Choco-boco-ching![~][~]
CHARACTER_JITEN_17_2;[#ff368c79]Hither and Thither[/#][~]A choco-gal with the habit of appearing in the most choco of places at the most choco of times. Has a whole bevy of different greetings for those who stop by her shop, only some of which make sense. It’s all about the attitude, and not the content![~][~]She’s also an extremely special case who has managed to retain her identity as she moves from world to world. The real mystery, of course, is deciding who the real Chocolatte is: the woman, or the chocochick on her head. ...What do you mean, [f2]it never crossed your mind?[/f][~][~]
CHARACTER_JITEN_17_3;[#ff368c79]Choco-stential Crisis[/#][~]Chocolatte used to go by the name Chocolina. But when she found herself in a world without Sazh and Dajh, she began to question her own identity. If the people who named her didn’t exist here, then wouldn’t she, by extension, be unable to know for certain whether she was, in fact, herself?[~][~]The more she considered it, the worse her existential crisis became...until the idea dawned on her to just become a new person. So voilà! New glasses, new name...totally different person, right?! Unfortunately, she has yet to fully convince the person who matters: herself.[~][~]
CHARACTER_JITEN_18_VOICEACTOR;CV: Hedy Burress / Mayuko Aoki
CHARACTER_JITEN_18_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY X[/f][~]
CHARACTER_JITEN_18_1;[#ff368c79]Age in Grymoire:[/#] 17[~][~][#ff368c79]Familiar:[/#] Valefor[~][~][#ff368c79]Notes:[/#] Leader of Grymoire’s few summoners / Mature and responsible for her age / Seems kind of tense / The pyreflies seen with her are not the ones you know[~][~]
CHARACTER_JITEN_18_2;[#ff368c79]Leader Among Summoners[/#][~]There are few alive today in Grymoire who have the power of the summoners, and even fewer actively practicing the art. Worried that their legacy may soon die out, Yuna resolved to take up the burden of preserving their techniques for future generations. It’s stressful, but satisfying work.[~][~]Yuna is close with Rydia and Eiko. The two younger summoners admire Yuna’s maturity and look up to her as a kind of big sister. She tries to teach by example, but the strain of being “on” all the time was starting to get to her... That’s when she met Tidus. Although she still hasn’t realized it, he’s quickly becoming the person she leans on when things get tough.[~][~]
CHARACTER_JITEN_18_3;[#ff368c79]I’ll Come Running[/#][~]Anyone familiar with the original Yuna might remember a certain series of events during which she learned how to whistle. Lilikin or not, Grymoire or not, it’s hard not to smile when watching these two have a nostalgic little exchange like this.[~][~][~][#ff368c79]Developer’s Note[/#][~]We all really do love this gal. More than with any other character, we had people on the team complain fiercely that “Yuna would never do that!” during production. Still, the Grymoirian Yuna is the Grymoirian Yuna, and while we acknowledged everyone’s objections, we did our best to create a new Yuna while still paying homage to the old. We hope you like her as much as ever![~][~]
CHARACTER_JITEN_19_VOICEACTOR;CV: Megan Goldsmith / Yoko Hikasa
CHARACTER_JITEN_19_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY III[/f] : In the remake[~]
CHARACTER_JITEN_19_1;[#ff368c79]Age in Grymoire:[/#] 15[~][~][#ff368c79]Notes:[/#] Wields healing magic / Gentle and kind[~][~]
CHARACTER_JITEN_19_2;[#ff368c79]Daughter of Saronia[/#][~]Refia was chased out of house and home by her only living relative, her uncle Takka. Given no reason for her exile, she did her best to keep her spirits up and forget her troubles. However, when she saw the woes the people of Saronia faced as a Federation state, she could remain silent no longer. Ignoring the danger, she left to give her uncle a piece of her mind. But it was already too late...[~][~]
CHARACTER_JITEN_19_3;[#ff368c79]Sherlotta’s Friend and Ward[/#][~]Sherlotta discovered Refia one day collapsed and freezing in the snow. She took in and cared for the exiled girl, and they’ve been fast friends ever since.[~][~]It may surprise you that the strong-willed, independent Refia could get along so well with the tough, no-nonsense Sherlotta. But Refia is a good-natured and honest girl. So while she might not show it, Refia will never forget that she owes Sherlotta her life.[~][~]
CHARACTER_JITEN_19_4;[#ff368c79]Why a White Mage?[/#][~]The original Refia had the ability to freely switch between multiple skillsets known as “jobs.” However, she was a white mage when her soul was noticed and brought into Grymoire, and so it was a white mage she became.[~][~]Life as a healer and her relationship with Sherlotta have shaped Refia. If she had been another job when her soul was brought over, she might have developed into an entirely different person.[~][~]
CHARACTER_JITEN_20_VOICEACTOR;CV: Stephanie Sheh / Marina Inoue
CHARACTER_JITEN_20_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY CRYSTAL CHRONICLES: Echoes of Time[/f][~]
CHARACTER_JITEN_20_1;[#ff368c79]Age in Grymoire:[/#] Redacted by the, er, young lady in question[~](Apparently, reeeally old)[~][~][#ff368c79]Notes:[/#] Calm and composed due to age and experience / Has a menacing streak / Zero patience for foolishness / Runs an inn (but why?)[~][~]
CHARACTER_JITEN_20_2;[#ff368c79]She’s a Kitty?![/#][~]Wait, why can she change into a feline? In her own words: “Cats get around.” Not the clearest answer, but it’s all you’re going to get.[~][~]Interesting fact! Sherlotta originally thought of Refia as nothing more than a stray cat she brought in from the cold. It’s probably for the best that Refia never caught on...[~][~]
CHARACTER_JITEN_20_3;[#ff368c79]The Grymoirian Sherlotta[/#][~]Perhaps it’s an unavoidable side effect of living as long as she has, but Sherlotta tends to be distant and uninterested in the world around her. If she hadn’t sensed the goodness in Refia’s soul, she might have just left the girl out to freeze. Still, once she decides someone is worth saving, that person is in good hands.[~][~]Perhaps Sherlotta has come to think of Refia as a daughter, but don’t make the mistake of asking her. Can you imagine the thunder and the fury? “You idiot! I’m too young to be a mother!” And an angry Sherlotta is a fearsome Sherlotta indeed.[~][~]
CHARACTER_JITEN_20_4;[#ff368c79]Inseparable Souls[/#][~]If you’re convinced Sherlotta and the Undead Princess were made to mess with each other, you might just be right. As with many Mediums and Champions who had close ties in their original worlds, some force seems to draw Sherlotta and the Undead Princess together no matter [f2]what[/f] world they’re in.[~][~]
CHARACTER_JITEN_20_5;[#ff368c79]Sherlotta’s Secret[/#][~]You may also be wondering who Sherlotta really is, and if her history here parallels that of the original. At least one thing is different: in Grymoire, she can change her form at will.[~][~]Then again, Reynn and Lann can change into Lilikin form. Mirages can transfig themselves. Even Enna Kros changes her appearance depending on the world she’s visiting... Maybe the rules governing metamorphosis in the A-Worlds are pretty loose? Actually, let’s drop that subject.[~][~]
CHARACTER_JITEN_20_6;[#ff368c79]Overprotective?[/#][~]Sherlotta seemed hesitant to let Refia go into town. If you’ve played [f2]FINAL FANTASY CRYSTAL CHRONICLES: Echoes of Time[/f], then you might remember her fussing over someone [f2]else[/f] who wanted to go into town. What has she got against towns, anyway?[~][~]
CHARACTER_JITEN_21_VOICEACTOR;CV: Emily O’Brien / Rie Tanaka
CHARACTER_JITEN_21_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY V[/f][~]
CHARACTER_JITEN_21_1;[#ff368c79]Age in Grymoire:[/#] 20[~][~][#ff368c79]Notes:[/#] Presents as male / Drop-dead gorgeous / Captains a crew of pirate moogles / Thinks of Syldra as family and can converse with her[~][~]
CHARACTER_JITEN_21_2;[#ff368c79]In League[/#][~]Even before meeting Lann and Reynn, Faris had her suspicions about the newly federated Saronia. This is why she formed a mutually beneficial relationship with a certain organization.[~][~]
CHARACTER_JITEN_21_3;[#ff368c79]Her Sworn Enemy[/#][~]Faris’s family has spent generations searching for a Mirage that crossed paths with an ancestor many long years ago...[~][~]
CHARACTER_JITEN_21_4;[#ff368c79]Fighting Friends[/#][~]For some of you, it was obvious the moment Quistis showed up, but the “certain organization” Faris teamed up with is SeeD (one part of the League of S).[~][~]Quistis had come to Saronia to investigate the new chain binding the city and why the land stayed frozen year-round. However, it didn’t take long for her to run afoul of the feisty pirate Faris. Thankfully, beating the stuffing out of each other fostered a sort of mutual respect that developed into a strong friendship.[~][~]Since then, Quistis has helped Faris run goods, and Faris has been a valuable asset in the League’s covert operations.[~][~]
CHARACTER_JITEN_21_5;[#ff368c79]Leviathan[/#][~]Apparently the Mirage who hurt Faris’s ancestor was Bismarck, not Leviathan. Still, haughty as she is, Leviathan is not completely without conscience. Even if Reynn and Lann had not intervened on Faris’s behalf, you can be certain the Queen of the Sea would have sought Bismarck out and done him in.[~][~]
CHARACTER_JITEN_21_6;[#ff368c79]The Grymoirian Faris[/#][~]Faris has not forged relationships with the people she knew in her original world, nor does her sister seem to exist here either. As a result, Faris has had no reason to get in touch with her feminine side. But in that sense, Grymoire has allowed her to be herself.[~][~]
CHARACTER_JITEN_22_VOICEACTOR;CV: Kristina Pesic / Miyuki Sawashiro
CHARACTER_JITEN_22_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY VIII[/f][~]
CHARACTER_JITEN_22_1;[#ff368c79]Age in Grymoire:[/#] 18[~][~][#ff368c79]Notes:[/#] Lass in glasses / Secret agent / Cautious and calculating / Generous enough to give away a fastcraft / Not generous enough to include a parachute[~][~]
CHARACTER_JITEN_22_2;[#ff368c79]A Cunning Strategist[/#][~]Quistis is a wily and worldly woman who knows just what’s needed to grease the wheels of the political machine. When it came time to investigate Icicle Ridge, she immediately readied a juicy bribe for the thane—the fastcraft—but quickly shifted strategies in light of new information. While you might think her capricious for this, that is most certainly not the case. Quistis merely reallocated her resources to where they would do the most good. Once she learned Reynn and Lann were the Jiants from the Hills, she considered the prophecies and decided that helping the twins progress was a more productive course of action.[~][~]
CHARACTER_JITEN_22_3;[#ff368c79]SeeD’s Leader[/#][~]Quistis is SeeD’s leader. Her organization controls Balamb Garden and the airships—highly advanced technology that is beyond the ken of even Grymoire’s brightest minds. Funny, then, that even with all that at her disposal, one of her greatest passions is said to be a card game.[~][~]
CHARACTER_JITEN_22_4;[#ff368c79]The Wiser Choice[/#][~]When Quistis went up against Faris, she had no idea who she was dealing with. Faris’s kupirate crew was one thing. But when Syldra appeared, Quistis knew she was done for. Thus she challenged Faris to fisticuffs not because she thought she could win, but because taking a few punches seemed a lot better than, you know, dying.[~][~]
CHARACTER_JITEN_22_5;[#ff368c79]Squall’s Influence?[/#][~]Quistis is too busy running SeeD to step out onto the front lines. Is that why she wears glasses? Because she doesn’t have to worry about breaking them?[~][~]Then again, in some A-Worlds, she [f2]doesn’t [/f]wear glasses... Maybe she only does that when Squall is around. Or maybe that’s just, uh, [f2]spec-ulation[/f].[~][~]
CHARACTER_JITEN_23_VOICEACTOR;CV: Tara Strong / Marika Matsumoto
CHARACTER_JITEN_23_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY X[/f][~]
CHARACTER_JITEN_23_1;[#ff368c79]Age in Grymoire:[/#] 15[~][~][#ff368c79]Notes:[/#] Superhuman swimmer / Can hold her breath seemingly forever / Treasure hunter / Happy-go-lucky / Makes up funny words / Disasterrific (in the good way)[~][~]
CHARACTER_JITEN_23_2;[#ff368c79]Marine Treasure Hunter[/#][~]After learning how to breathe underwater (patent pending), Rikku realized her time was best spent scouring the sea for awesome trejjies. She boasts that she can hold her breath for up to an entire day. (Aha! So apparently it’s [f2]not [/f]forever.)[~][~]
CHARACTER_JITEN_23_3;[#ff368c79]Fashion Savvy[/#][~]Although she’s about the same age as she was in [f2]FINAL FANTASY X[/f], her outfit resembles the one she had in [f2]FINAL FANTASY X-2[/f].[~][~]In Grymoire, she still hasn’t met Yuna or Tidus. But if she ever does, they’re guaranteed to get along![~][~]
CHARACTER_JITEN_23_4;[#ff368c79]Gullwings Wanted![/#][~]Rikku is looking to make a career out of treasure hunting, and has started recruiting members for her team, which she’s calling “the Gullwings.”[~][~]Rikku bumped into Yuna on a recent excursion and immediately took a liking to her. Now, if she can just find a way to get Yuna to join up...[~][~]
CHARACTER_JITEN_23_5;[#ff368c79]Trejjie-Wejjie, La La La La La![/#][~]Rikku and Bartz seemed to really hit it off, didn’t they? Their combined optimism and contagious spirit of adventure must have created some sort of perpetual energy loop that charged their fun meters to the max. Even Ifrit couldn’t help but get bowled over.[~][~](Although, Bartz did seem a little more self-aware than Rikku. Maybe he was just playing along?)[~][~]
CHARACTER_JITEN_24_VOICEACTOR;CV: Rachael Leigh Cook / Ayumi Ito
CHARACTER_JITEN_24_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY VII[/f][~]
CHARACTER_JITEN_24_1;[#ff368c79]Age in Grymoire:[/#] 20[~][~][#ff368c79]Notes:[/#] Aspiring martial artist / Seems cheerful and outgoing, but is actually quite shy / “Whoa! It finally worked!” / A cowgirl? Really?[~][~]
CHARACTER_JITEN_24_2;[#ff368c79]She’s There When You Need Her[/#][~]Even though Tifa had never met Reynn and Lann, she still put herself in danger to rescue them. Call it heroic or call it reckless, Tifa just isn’t the kind of woman to leave anyone stuck in a jam.[~][~]
CHARACTER_JITEN_24_3;[#ff368c79]Tifa’s Dream[/#][~]Tifa makes ends meet as a guide in Babil, but hopes to one day save up enough to open her own restaurant. She’d be in seventh heaven if she ever made it happen.[~][~]
CHARACTER_JITEN_24_4;[#ff368c79]Ready to Wrangle[/#][~]Tifa’s wearing her [f2]CRISIS CORE –FINAL FANTASY VII–[/f] outfit. However, she’s the same age as she was in [f2]FINAL FANTASY VII[/f].[~][~]
CHARACTER_JITEN_24_5;[#ff368c79]A Childhood Friend[/#][~]When Tifa ran into Cloud during the Cogna invasion, she was shocked to discover that he was the same Cloud she grew up with. But whether or not Cloud remembers her is anyone’s guess.[~][~]
CHARACTER_JITEN_24_6;[#ff368c79]The Mysterious Master[/#][~]Tifa was badly hurt during a calamity that befell the village of Mist, which stood where Nibelheim does today. The man who would become her master just happened to be visiting the village and saved her life. Ever since, she’s been his loyal student and disciple in the martial arts.[~][~]And clearly, he doesn’t go easy on her. In fact, she now assumes that every horrible crisis she encounters must be some part of her master’s training. Which makes you wonder what he’s put her through...[~][~]Oh, and in case you’re wondering... Sorry! Tifa’s master will not be making an appearance this time.[~][~]
CHARACTER_JITEN_25_VOICEACTOR;CV: Caroline Macey / Noriko Shitaya
CHARACTER_JITEN_25_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY IV[/f][~]
CHARACTER_JITEN_25_1;[#ff368c79]Age in Grymoire:[/#] 16[~][~][#ff368c79]Familiar:[/#] Mist Dragon[~][~][#ff368c79]Notes:[/#] Summoner / Researching the Crimson Prophecy / Looks up to Yuna as a role model[~][~]
CHARACTER_JITEN_25_2;[#ff368c79]Bad Memories[/#][~]Rydia has a paralyzing fear of fire, brought on by the trauma she experienced when a calamity befell her home village of Mist. She lost her family that day, and even now sees the inferno that consumed them in every spark or flicker of flame. And try as she might, she has yet to overcome her phobia.[~][~]
CHARACTER_JITEN_25_3;[#ff368c79]Growing Up[/#][~]The original Rydia from [f2]FINAL FANTASY IV[/f] underwent a rather unique aging process during her time in the Feymarch, but here in Grymoire she has grown up at the same pace as any other girl. As a result, she’s a little bit more down-to-earth than you might remember.[~][~]Rydia’s mother was also a summoner, which makes the two of them a rarity in Grymoire, where Lilikin do not generally pass on such powers to their children.[~][~]
CHARACTER_JITEN_25_4;[#ff368c79]Fighting Fire[/#][~]Since meeting Reynn and Lann, Rydia has made great progress in overcoming her fear of flames. She’s still got a ways to go, but the healing has already begun.[~][~]
CHARACTER_JITEN_25_5;[#ff368c79]Her Mother’s Familiar[/#][~]When a familiar loses the summoner that brought them to a world, it also loses the source of magic that allows it to linger there. Once the magic their summoner invested in them finally fades, they must return whence they came.[~][~]However, some masterless familiars prove to be powerful, resourceful, and intelligent creatures. They secure sources of magic that allow them to remain in the world long after their summoners have died. The mist dragon Rydia’s mother summoned is one such Mirage.[~][~]
CHARACTER_JITEN_25_6;[#ff368c79]Prismarium Prison Breaks[/#][~]Among the Mirages that Reynn and Lann capture, some—like the seven known as the Pleiad—are powerful enough to secure their own magical sources, leave the confines of their prismariums, and wander about the world at will, even while their souls remain beholden. (If they are called upon, they are forcibly teleported back.)[~][~]However, this is only possible if the prismarium’s master is not paying attention. To put it simply, picture a heavy door in every prismarium that leads to the world outside. If the Mirage is strong enough and no one’s watching, it can push the door open and head along on its merry way. However, if the door is kept under lock and key, then no matter of pushing can force it open.[~][~]Long ago, Lann and Reynn captured a great number of Mirages, but left the doors to virtually all of their prismariums wide open and unguarded. Because of this, many Mirages—the Pleiad in particular—rampaged across Grymoire and made trouble for everyone. And Lann and Reynn, as the cause of this sorry state of affairs, became known as the Demon Dyad.[~][~]
CHARACTER_JITEN_26_VOICEACTOR;CV: Troy Baker / Daisuke Ono
CHARACTER_JITEN_26_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY XIII[/f][~]
CHARACTER_JITEN_26_1;[#ff368c79]Age in Grymoire:[/#] 21[~][~][#ff368c79]Notes:[/#] Ribbity-rib-ribbit! / Nice bandana, bro / Kind of an airhead / Kind of a hothead / Always ready to fight for someone[~][~]
CHARACTER_JITEN_26_2;[#ff368c79]Toad-Cursed[/#][~]Snow couldn’t contain his curiosity when he saw a shiny golden toad. But when he tried to pick up the thing, blam! Toad-cursed. The first thing he thought after being toadified wasn’t how to turn himself back, but if he could deal with eating flies. Classic Snow.[~][~]
CHARACTER_JITEN_26_3;[#ff368c79]Flandemonium![/#][~]This isn’t the first Snow who’s run into trouble with a rogue flan. Maybe it’s just his destiny. In any case, no matter how absurd the circumstances this time, he’s still dead serious about stopping his wobbly nemesis once and for all.[~][~]
CHARACTER_JITEN_26_4;[#ff368c79]Is Lightning Snow’s Sister?[/#][~]Snow called Lightning “Sis,” but are they related? Well, not by blood. But as you may have guessed, Snow and Lightning’s relationship here is essentially the same as it was in their original world.[~][~]Unfortunately, Lightning’s younger sister doesn’t make an appearance this time, but perhaps one day she’ll rise as a Champion and you’ll have a chance to meet her.[~][~]
CHARACTER_JITEN_26_5;"[#ff368c79]Not a Summoner?[/#][~]Snow has the ability to summon a special Mirage, Shiva-Ixion. And yet, he insists that he isn’t a summoner.[~][~]Summoners are individuals who open pathways to other worlds, then use their magic to form pacts with Mirages. However, Snow is different. Unlike a summoner, Snow was given a power—some consider it a curse—that turned his left arm into a sort of magical instrument. Channeling magic through it, he made a pact with Shiva-Ixion.[~][~]In Snow’s original world, this would brand him as a l’Cie
CHARACTER_JITEN_27_VOICEACTOR;CV: Ali Hillis / Maaya Sakamoto
CHARACTER_JITEN_27_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY XIII[/f][~]
CHARACTER_JITEN_27_1;[#ff368c79]Age in Grymoire:[/#] 21[~][~][#ff368c79]Notes:[/#] Virtuous / Looks out for other people / On the stoic side / Genius with a sword / One of this age’s greatest warriors[~][~]
CHARACTER_JITEN_27_2;[#ff368c79]Reading Into the Outfit[/#][~]Lightning is looking great in her outfit from [f2]LIGHTNING RETURNS: FINAL FANTASY XIII[/f]. But does that mean her soul might actually be over 500 years old? No wonder it only took her 21 years in Grymoire to become something of a living legend—and that was [f2]before[/f] the twins awakened her.[~][~]Lightning’s superhuman skills drew the attention of Quistis and Squall, who tracked her down and persuaded her to lend her strength to the League of S.[~][~]
CHARACTER_JITEN_27_3;[#ff368c79]Careless?[/#][~]Between failing to catch the poison in Lann and Reynn’s drinks and letting the bad guys get the upper hand, the Grymoirian Lightning seems to be surprisingly careless. Maybe it’s because the burdens she bears are relatively light, and she’s never been in quite as desperate a situation as her original. Note that she puts a surprising amount of faith in her allies in the League of S. Maybe she knows it’s okay to slip up now and then if you have friends to lean on. And that makes her a little more human.[~][~]
CHARACTER_JITEN_27_4;"[#ff368c79]Watch and Learn[/#][~]You may think, “If only I knew Odin’s Zantetsuken. I could defeat any enemy with a single strike!” Sorry to get your hopes up, kiddo, but that’s not necessarily true. Just going through the motions isn’t enough
CHARACTER_JITEN_28_VOICEACTOR;CV: Ray Chase / Shin-ichiro Miki
CHARACTER_JITEN_28_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY VI[/f][~]
CHARACTER_JITEN_28_1;[#ff368c79]Age in Grymoire:[/#] 27[~][~][#ff368c79]Notes:[/#] King of Figaro / Owns a big sand castle (sort of) / Loves the ladies / “The churl never gets the girl” / Voiced by a true FF fan[~][~]
CHARACTER_JITEN_28_2;[#ff368c79]An Eye for the Ladies[/#][~]Day after day, Edgar struggles with an ethical quagmire from which he just can’t escape. On the one hand, he [f2]must[/f] flirt with [f2]all[/f] the ladies. On the other, he knows that this can be taken as rude, and one should never be rude to a lady. What to do?![~][~]Additionally, Edgar still hasn’t quite decided where to draw the line between “girl” and “lady.” It seems that Reynn falls into the former category, and not the latter.[~][~]
CHARACTER_JITEN_28_3;[#ff368c79]The Desert Castle[/#][~]Edgar’s castle rose from the sands with a tremor and a roar. Although its chain-like leash might suggest the Federation had a hand in such a trick, Figaro Castle’s ability to submerge is uniquely its own.[~][~]
CHARACTER_JITEN_28_4;[#ff368c79]Figaro Castle, Midgar, and the Underground Prison[/#][~]Strap yourselves in, because we’re breaking the fourth wall.[~][~]Figaro Castle is, without a doubt, the most preposterous facility in all of Grymoire. To be honest, it never made any sense. A castle that can burrow into sand? How does that even work?![~][~]Well, we’ve ratcheted up the implausible factor to the max by strapping a facility named after [f2]FFVII’s[/f] Midgar to the bottom of it, complete with [f2]DIRGE of CERBERUS’s[/f] Mako Reactor 0. Add to the mix one boss straight out of [f2]FFIX[/f]—hi, Vivi! To top it all off, if you look at the submerged portion of the castle, it’s painfully obvious from the construction that it’s an evolved version of the drills on that desert prison in [f2]FFVIII[/f]...[~][~]Honestly, even we think we might have gone too far this time.[~][~]
CHARACTER_JITEN_28_5;[#ff368c79]Eidolons as Living Structures[/#][~]Enna Kros hints at this, but in case you didn’t catch it: in every A-World, massive eidolons can take the form of buildings or weapons. In Grymoire, there are at least four known examples of this:[~]- Big Bridge Alexander[~]- Eden of Balamb[~]- The Lute of Ragnarok[~]- The Midgardian Ormr[~](And in fact, there’s one more, but we’ll save that for another entry.)[~][~]Eiko is Big Bridge Alexander’s caretaker. The Eden of Balamb is guarded by Quistis, Squall, and SeeD. The Lute of Ragnarok, Cornelia’s guardian, has been revived and magically charged by Ramuh’s Judgment Staff. And the Midgardian Ormr sleeps beneath Figaro Castle, under Edgar’s watchful eye.[~][~]The Ormr stands out because no one has realized yet that it is an eidolon. And that suits it just fine for now, since it is able to convert Grymoire’s geotic energy into mako whenever it requires more magic.[~][~]When eidolons and Mirages materialize in a new world, oftentimes they don’t quite fully make it. When this happens, their primary characteristics are emphasized and reforged into a new form, such as a specialized facility or a powerful weapon. Long, long ago, some Cogna failed to push their way into Roksanne and Aris’s world. The weapons they became were discovered and wielded by great heroes. But this directly led to a Cogna invasion, which in turn invited the creation of a new, terrifying type of being: the amalgamations known as the Exnine Knights.[~][~]
CHARACTER_JITEN_29_VOICEACTOR;CV: Crispin Freeman / Masaya Onosaka
CHARACTER_JITEN_29_ORIGINAL;First World of Origin:[~][f2]WORLD OF FINAL FANTASY[/f][~]
CHARACTER_JITEN_29_1;[#ff368c79]Notes:[/#] The name says it all / Except his actual name / Willing to lay down his life for the kingdom[~][~]
