CHARACTER_JITEN_01_VOICEACTOR;Voz inglesa por Josh Keaton[~]Voz japonesa por Soma Saito
CHARACTER_JITEN_15_4;[#ff368c79]Sobre las almas[/#][~]Un iluminado es un grymoiriano con el potencial para transformarse en protector. Para ello, debe poseer un espíritu indomable, un gran sentido de la justicia y la fuerza para luchar por aquello en lo que cree. Esa mezcla única de características necesaria para que surja un iluminado es extremadamente rara, y las pocas almas en las que se da llevan la marca del poder divino. Estas almas se seleccionan de entre muchos mundos y se copian en un mundo A. Suelen vivir vidas muy parecidas a las de sus precursores originales, aunque no recuerden nada de lo que algún día fueron... en teoría. A través de una cantidad infinita de vidas, en ocasiones esas almas recuerdan algún detalle de sus muchos pasados. El Guerrero de la Luz es uno de esos casos especiales, aunque no es el único en Grymoire.
CHARACTER_JITEN_16_VOICEACTOR;Voz inglesa por Brooke Lyons[~]Voz japonesa por Harumi Ichiryusai
CHARACTER_JITEN_16_ORIGINAL;Mundo de origen[~]Final Fantasy
CHARACTER_JITEN_16_1;[#ff368c79]Edad en Grymoire[/#][~]21 años[~][~][#ff368c79]Características en Grymoire[/#][~]Princesa soberana de Cornelia. Elegante, refinada y compasiva. Le gusta vestirse de plebeya y pasearse de incógnito entre los habitantes de su reino.[~]
CHARACTER_JITEN_16_2;[#ff368c79]La princesa Sara y sus súbditos[/#][~]La princesa Sara siempre aparece donde menos se la espera. ¡A veces hasta ella se sorprende! Le gusta recorrer las calles y los campos de Cornelia para comprobar por sí misma el día a día de sus súbditos. Cree que para saber lo que siente la gente de verdad no puede contentarse con vivir sentada en el trono y leer informes, sino que debe salir y acercarse a ellos. Aunque ella no lo sepa, el capitán de la guardia de Cornelia la protege en cada una de sus escapadas.[~]Cuando la princesa Sara sale de palacio disfrazada de plebeya, en realidad no engaña a casi nadie, porque los ropajes que viste son de telas finas y acabados muy cuidados, y para cualquiera que preste atención resulta evidente que no es una humilde campesina. Además, su gran personalidad destaca en cuanto tiene ocasión de decir algo. Todo el mundo sabe que es ella, pero disimulan para no herir sus sentimientos. ¡Qué súbditos más considerados![~]
CHARACTER_JITEN_16_3;[#ff368c79]Las invocadoras y Cornelia[/#][~]Según la leyenda, el reino de Cornelia fue fundado por una invocadora, aunque la princesa Sara no ha heredado ninguno de los poderes de su ancestro. Esto no resulta muy sorprendente teniendo en cuenta que en Grymoire, sobre todo entre los pezquecos, los poderes especiales rara vez se transmiten de padres a hijos. En la mayoría de los casos, son los espers quienes eligen a su invocador. Según los registros del reino, en Cornelia no ha nacido ningún invocador desde la época de la fundadora, por eso el esper protector del reino, el Laúd de Ragnarok, permanece profundamente dormido...[~]
CHARACTER_JITEN_16_4;3221225472
CHARACTER_JITEN_17_VOICEACTOR;Voz inglesa por Julie Nathanson[~]Voz japonesa por Seiko Ueda
CHARACTER_JITEN_17_ORIGINAL;Mundo de origen[~]Final Fantasy XIII-2
CHARACTER_JITEN_17_1;[#ff368c79]Edad en Grymoire y Colina Nonarboleda[/#][~]Incalculable[~][~][#ff368c79]Características en Grymoire[/#][~]Lleva gafas de diseño y corretea alegremente de un lugar a otro. Tiene chocontactos y los usa para sacar adelante su negocio de venta al por menor. ¡Choco-boco-toma![~]
CHARACTER_JITEN_17_2;[#ff368c79]De acá para allá[/#][~]Esta chocochica tiene el don de aparecerse en cualquier lugar y en cualquier momento. Según ella, conoce un montón de saludos diferentes con los que recibe a sus clientes en potencia, pero lo que ocurre en realidad es que siempre se le olvida lo que se supone que debe decir. ¡Lo importante no es lo que se dice, sino cómo se dice! El caso de su alma es especial porque ha logrado conservar la mayoría de los rasgos de su personalidad y sus recuerdos durante su periplo por diferentes mundos. Pero ¿quién es en realidad Chocolatte? ¿La chica o el chocobito que lleva sobre la cabeza? Ese es el verdadero misterio.[~]
CHARACTER_JITEN_17_3;[#ff368c79]La chocofilosofía[/#][~]Al encontrarse en un mundo sin Sazh y Dajh, empezó a hacerse preguntas sobre su propia identidad. Si la gente que le había puesto nombre no existía, ¿cómo podría estar segura de quién era ella en realidad? Cuantas más vueltas le daba a la pregunta, más insoportable se volvía esa duda... Hasta que decidió que no merecía la pena preocuparse tanto por eso. Si Sazh y Dajh no existían en Grymoire para recordarle quién es, podía crear una nueva personalidad y empezar de cero. Dicho y hecho: nuevas gafas y nuevo nombre para una mujer nueva. ¡Esa es la chocofilosofía!
CHARACTER_JITEN_18_VOICEACTOR;Voz inglesa por Hedy Burress[~]Voz japonesa por Mayuko Aoki
CHARACTER_JITEN_18_ORIGINAL;Mundo de origen[~]Final Fantasy X
CHARACTER_JITEN_18_1;[#ff368c79]Edad en Grymoire[/#][~]17 años[~][~][#ff368c79]Guardián[/#][~]Valefor[~][~][#ff368c79]Características[/#][~]Es la principal invocadora de Grymoire y la líder de su grupo, aunque a veces se siente un tanto abrumada por la responsabilidad que eso supone.[~]
CHARACTER_JITEN_18_2;[#ff368c79]Líder de las invocadoras[/#][~]En Grymoire, pocas personas poseen el poder de invocar y todavía son menos quienes practican el arte de la invocación. Preocupada por la desaparición de su legado, Yuna se toma muy en serio la tarea de preservar sus tradiciones y técnicas para que las generaciones venideras puedan disfrutar de ellas. Es una tarea estresante pero que le proporciona una gran satisfacción. Yuna se lleva especialmente bien con las invocadoras Eiko y Rydia. Ambas son más jóvenes que ella y la ven como una especie de hermana mayor. Intenta ser un ejemplo para las dos, aunque la presión de ser siempre <QUOT>ejemplar<QUOT> está empezando a hacer mella en ella... Cuando ese agobio empieza a ser demasiado acuciante tiene la suerte de conocer a Tidus. Aunque todavía no se ha dado cuenta, cada vez se apoya más en él cuando las cosas se ponen complicadas.[~]
CHARACTER_JITEN_18_3;[#ff368c79]Pon los labios así y sopla[/#][~]Todos los que conozcan a la Yuna original recordarán lo que ocurrió cuando aprendió a silbar. Pezquecos o no, es difícil no esbozar una sonrisa al ser testigos, de nuevo, de estos melancólicos momentos entre ambos. La Yuna de Grymoire no es como la Yuna original en muchos aspectos, incluida su personalidad, así que no resulta extraño si no reacciona exactamente como se podría esperar.
CHARACTER_JITEN_19_VOICEACTOR;Voz inglesa por Megan Goldsmith[~]Voz japonesa por Yoko Hikasa
CHARACTER_JITEN_19_ORIGINAL;Mundo de origen[~]Final Fantasy III (remake)
CHARACTER_JITEN_19_1;[#ff368c79]Edad en Grymoire[/#][~]15 años[~][~][#ff368c79]Características en Grymoire[/#][~]Una chica dulce con un gran dominio de la magia blanca y una gran determinación para luchar contra el mal. Su tío es el barón de Saronia.[~]
CHARACTER_JITEN_19_2;[#ff368c79]Saronia[/#][~]Su tío Takka, el único familiar que le queda a Refia, la expulsó de su pueblo sin darle ningún motivo. Ella se fue, tratando de olvidar la injusticia y no desanimarse, aunque cuando vio el sufrimiento del pueblo de Saronia después de que el reino se anexionase a la Federación, no pudo quedarse de brazos cruzados. Sin preocuparse por el peligro que pudiera suponer, se propuso hablar con su tío en persona costase lo que costase, pero ya era demasiado tarde...[~]
CHARACTER_JITEN_19_3;[#ff368c79]La amiga Sherlotta[/#][~]Sherlotta se encontró a Refia desmayada sobre la nieve y a punto de congelarse. La rescató, cuidó de ella y desde entonces son inseparables. Es sorprendente que una chica independiente y resuelta como Refia se lleve tan bien con la dura y directa Sherlotta. Pero Refia es una chica honrada y buena: nunca olvidará que le debe la vida a Sherlotta.[~]
CHARACTER_JITEN_19_4;[#ff368c79]Refia, la maga blanca[/#][~]Refia siempre fue capaz de cambiar de profesión dependiendo de las necesidades de la aventura en la que se encontrase. Sin embargo, apareció en Grymoire como maga blanca y ese es el papel que desempeña. Su don para curar a la gente ha moldeado su personalidad, su forma de ver la vida e incluso su relación con Sherlotta. Si hubiese llegado a este mundo con otra profesión es probable que tuviese una personalidad muy diferente.
CHARACTER_JITEN_20_VOICEACTOR;Voz inglesa por Stephanie Sheh[~]Voz japonesa por Marina Inoue
CHARACTER_JITEN_20_ORIGINAL;Mundo de origen[~]Final Fantasy Crystal Chronicles: Echoes of Time
CHARACTER_JITEN_20_1;[#ff368c79]Edad en Grymoire[/#][~]Censurado por Sherlotta[~][~][#ff368c79]Características en Grymoire[/#][~]Muy prudente y sensata para alguien de su edad, aunque se muestra intolerante con lo que considera <QUOT>bobadas<QUOT>. Por alguna incomprensible razón, es gerente de una posada.[~]
CHARACTER_JITEN_20_2;[#ff368c79]Un lindo gatito[/#][~]Según ella misma explica, suele adoptar la forma de un gato porque así le es más fácil desplazarse por ahí. De hecho, para Sherlotta, Refia no era más que un gatito que rescató del frío. Menos mal que Refia no sabe esto, porque si no, saltarían chispas...[~]
CHARACTER_JITEN_20_3;[#ff368c79]Sherlotta en Grymoire[/#][~]Sherlotta tiende a mantenerse distante de los sucesos que acontecen a su alrededor y no se mezcla en los asuntos de los demás, quizá un efecto secundario de su prolongada edad. Si no hubiese sentido la bondad del alma de Refia, quizá la hubiese dejado congelarse bajo la nieve. Sin embargo, cuando toma una decisión lo hace con todas las consecuencias: ahora cuidará de Refia hasta el fin de sus días y nunca la abandonará a su suerte. De hecho, para Sherlotta ya es casi como una hija, aunque no le guste admitirlo. Pobre del que tenga la ocurrencia de decirle algo así...[~]
CHARACTER_JITEN_20_4;[#ff368c79]Almas unidas[/#][~]Da la impresión de que Sherlotta y la princesa zombi tienen algo en común que las une a pesar de lo mal que parecen llevarse cuando están juntas... y así es. Al igual que los iluminados y los protectores, que se conocían en sus mundos originales, las almas de Sherlotta y la princesa zombi están unidas por un vínculo que es más antiguo que ellas mismas y que se transmite de un mundo a otro.[~]
CHARACTER_JITEN_20_5;[#ff368c79]El secreto de Sherlotta[/#][~]Solamente Sherlotta conoce sus verdaderos orígenes y no parece dispuesta a contarle la historia a nadie. Es capaz de cambiar de forma a voluntad... Pero Lann y Reynn también cambian de forma entre pezqueco y koloso. Lo mirages pueden transfigurarse y Enna Kros cambia de aspecto según el mundo en el que se encuentre... Parece que las reglas que rigen la forma física en los mundos A no son muy estrictas.[~]
CHARACTER_JITEN_20_6;[#ff368c79]¿Demasiado protectora?[/#][~]Sherlotta parecía reacia a permitir que Refia viajara hasta Saronia. En Final Fantasy Crystal Chronicles: Echoes of Time, de hecho, Sherlotta también protagoniza una escena en la que no se muestra partidaria de dejar que alguien viaje a una aldea. ¿Qué mosca le habrá picado?
CHARACTER_JITEN_21_VOICEACTOR;Voz inglesa por Emily O'Brien[~]Voz japonesa por Rie Tanaka
CHARACTER_JITEN_21_ORIGINAL;Mundo de origen[~]Final Fantasy V
CHARACTER_JITEN_21_1;[#ff368c79]Edad en Grymoire[/#][~]20 años[~][~][#ff368c79]Características en Grymoire[/#][~]Una capitana pirata dura y bella a partes iguales. Lidera una tripulación de mogupiratas relativamente fieles y tiene una dragona, Syldra, a la que considera como su familia.[~]
CHARACTER_JITEN_21_2;[#ff368c79]Nuevos amigos[/#][~]Faris no se fía de la nueva Saronia que se ha anexionado a la Federación y recientemente ha establecido contacto con otra organización...[~]
CHARACTER_JITEN_21_3;[#ff368c79]Historia de familia[/#][~]La familia de Faris lleva muchos años buscando un mirage del que intentan vengarse desde hace generaciones...[~]
CHARACTER_JITEN_21_4;[#ff368c79]Amigos en la adversidad[/#][~]La organización a la que Quistis pertenece es SeeD y, por extensión, la Liga de los S. Quistis visitó Saronia para investigar la cadena que atenaza la ciudad y descubrir por qué la zona sufre siempre temperaturas bajo cero, pero no contaba con la presencia de la fiera capitana pirata Faris. Todo empezó con una pelea en una tasca de los muelles del puerto de Saronia. Tras los golpes pasaron al grog, seguido por más grog, y con un colofón de abrazos y promesas de amistad eterna. Desde entonces colaboran juntas en todo tipo de misiones y comercian entre sí.[~]
CHARACTER_JITEN_21_5;[#ff368c79]Leviatán[/#][~]Parece ser que el responsable de la afrenta a la familia de Faris no es Leviatán sino Bismarck. Aun así, Leviatán no puede evitar sentirse culpable por lo ocurrido y decide hacer algo por arreglarlo. Si Reynn y Lann no hubiesen aparecido cuando lo hicieron, Leviatán habría ido a por Bismarck en persona.[~]
CHARACTER_JITEN_21_6;[#ff368c79]Faris en Grymoire[/#][~]Faris no reconoce a quienes conocía en su mundo original y su hermana parece no existir en Grymoire, lo que explica que no haya aprendido buenos modales. Su profesión como capitana pirata ha terminado de forjar su iracunda personalidad.
CHARACTER_JITEN_22_VOICEACTOR;Voz inglesa por Kristina Pesic[~]Voz japonesa por Miyuki Sawashiro
CHARACTER_JITEN_22_ORIGINAL;Mundo de origen[~]Final Fantasy VIII
CHARACTER_JITEN_22_1;[#ff368c79]Edad en Grymoire[/#][~]18 años[~][~][#ff368c79]Características en Grymoire[/#][~]Miembro de una organización secreta. Inteligente y calculadora, pero también lo suficientemente generosa como para regalar un navío veloz.[~]
CHARACTER_JITEN_22_2;[#ff368c79]Estratega[/#][~]Quistis es una mujer de mundo con grandes dotes diplomáticas y mucha mano izquierda. Cuando parece evidente que es necesario investigar el Valle Témpano, lo primero que propone es sobornar al barón, pero se replantea su estrategia cuando la situación cambia. Aunque puede parecer caprichosa, sus cambios de opinión obedecen en realidad a un análisis profundo de las situaciones con las que tiene que lidiar y todas las variables que pueden intervenir en el resultado final: cuando supo que Lann y Reynn eran kolosos de la colina, recordó las profecías y se dio cuenta de que era más útil ayudarlos en vez de sobornar al barón.[~]
CHARACTER_JITEN_22_3;[#ff368c79]Líder de SeeD[/#][~]Quistis es la carismática y eficaz líder de SeeD, una organización que posee tecnología muy avanzada, como el Jardín de Balamb y los barcos voladores. Según los rumores, la debilidad de Quistis son los juegos de naipes.[~]
CHARACTER_JITEN_22_4;"[#ff368c79]La pelea con Faris[/#][~]La primera vez que peleó contra Faris, Quistis no tenía ni idea del lío en el que se había metido. Cuando la tripulación de mogupiratas se lanzó al combate, Quistis ni siquiera pestañeó, pero cuando apareció Syldra, pensó que había llegado su hora. Por ello decidió retar a Faris a un combate una contra una
CHARACTER_JITEN_22_5;[#ff368c79]Quistis y Squall[/#][~]Dirigir SeeD es una tarea agotadora que no le deja ni un momento libre a Quistis, ni siquiera para luchar. De hecho, lleva gafas porque nunca está en el frente y no corre el riesgo de perderlas o romperlas. Dicen que en otros mundos A, Quistis se quita las gafas en algunas ocasiones. ¿Quizá tenga algo que ver con Squall?...
CHARACTER_JITEN_23_VOICEACTOR;Voz inglesa por Tara Strong[~]Voz japonesa por Marika Matsumoto
CHARACTER_JITEN_23_ORIGINAL;Mundo de origen[~]Final Fantasy X
CHARACTER_JITEN_23_1;[#ff368c79]Edad en Grymoire[/#][~]15 años[~][~][#ff368c79]Características en Grymoire[/#][~]Una excelente nadadora capaz de aguantar la respiración durante horas. También es una cazatesoros de espíritu indomable que se distrae con facilidad.[~]
CHARACTER_JITEN_23_2;[#ff368c79]Cazatesoros marina[/#][~]Le costó tanto aprender a respirar debajo del agua que ha decidido aprovechar al máximo su habilidad y encontrar todos los tesoros marinos que pueda. ¡Dice que es capaz de aguantar la respiración durante un día entero![~]
CHARACTER_JITEN_23_3;[#ff368c79]Vestuario[/#][~]Lleva un atuendo muy parecido al que llevaba en Final Fantasy X-2, pero tiene la misma edad que tenía en Final Fantasy X. En Grymoire no conoce ni a Yuna ni a Tidus, pero si se encuentra con ellos seguramente se lleven de maravilla.[~]
CHARACTER_JITEN_23_4;[#ff368c79]Se buscan gaviotas[/#][~]Rikku ha decidido dedicarse profesionalmente a la búsqueda de tesoros y está buscando miembros para su equipo de cazatesoros recién creado: <QUOT>Las Gaviotas<QUOT>. Rikku se encontró con Yuna en una de sus aventuras más recientes y enseguida se dio cuenta de que era perfecta para su nuevo grupo, así que está buscando la mejor forma de convencerla para que se una.[~]
CHARACTER_JITEN_23_5;[#ff368c79]A por los tesoros[/#][~]Rikku y Bartz parecen llevarse a las mil maravillas: los dos tienden a actuar primero y reflexionar después, y suelen mantener una actitud positiva a pesar de las adversidades. Cuando están juntos es como si se contagiasen alegría el uno al otro en un bucle infinito. Hasta Ifrit se ve arrastrado por esa ola de optimismo y buen humor.
CHARACTER_JITEN_24_VOICEACTOR;Voz inglesa por Rachael Leigh Cook[~]Voz japonesa por Ayumi Ito
CHARACTER_JITEN_24_ORIGINAL;Mundo de origen[~]Final Fantasy VII
CHARACTER_JITEN_24_1;[#ff368c79]Edad en Grymoire[/#][~]20 años[~][~][#ff368c79]Características en Grymoire[/#][~]Domina las artes marciales del cuerpo a cuerpo. Parece extrovertida y simpática, pero en realidad es bastante tímida. Lleva un traje de vaquera.[~]
CHARACTER_JITEN_24_2;[#ff368c79]Qué chica más maja[/#][~]Aunque Tifa no conocía a Reynn y Lann, acudió en su ayuda sin pensárselo dos veces. Puede parecer una decisión temeraria, pero lo que ocurre es que sería incapaz de no ayudar a alguien en peligro.[~]
CHARACTER_JITEN_24_3;[#ff368c79]Un futuro soñado[/#][~]Tifa se gana la vida como guía turística en Babil mientras ahorra todo lo que puede para algún día abrir su propia tienda.[~]
CHARACTER_JITEN_24_4;[#ff368c79]Vestuario[/#][~]Tifa viste el mismo modelo que en Crisis Core: Final Fantasy VII, aunque tiene la misma edad que en Final Fantasy VII.[~]
CHARACTER_JITEN_24_5;[#ff368c79]Cloud y Tifa[/#][~]Cuando Tifa se encontró a Cloud durante la invasión de los daemonbots se quedó asombrada al ver que era el mismo Cloud que recordaba de su infancia. Lo que no queda muy claro es si él la recuerda a ella o no.[~]
CHARACTER_JITEN_24_6;[#ff368c79]Un misterioso maestro[/#][~]Antes de que Tifa llegase a Nibelheim resultó gravemente herida en un accidente que tuvo lugar en el pueblo de Mist. Dio la casualidad de que el hombre que acabaría siendo su maestro pasara por allí justo en aquel momento y le salvara la vida, y desde entonces ella ha sido su fiel aprendiz. Por muy difícil que parezca una misión, Tifa siempre afirma que no es nada comparado con los entrenamientos de su maestro. Todo el mundo se pregunta a qué clase de pruebas y torturas la someterá... La identidad de su maestro es una incógnita y lo seguirá siendo... por ahora.
CHARACTER_JITEN_25_VOICEACTOR;Voz inglesa por Caroline Macey[~]Voz japonesa por Noriko Shitaya
CHARACTER_JITEN_25_ORIGINAL;Mundo de origen[~]Final Fantasy IV
CHARACTER_JITEN_25_1;[#ff368c79]Edad en Grymoire[/#][~]16 años[~][~][#ff368c79]Guardián[/#][~]Dragona de Mist[~][~][#ff368c79]Características[/#][~]Una invocadora que investiga sobre la profecía carmesí. Tiene a Yuna por modelo y a veces la imita.[~]
CHARACTER_JITEN_25_2;[#ff368c79]Malos recuerdos[/#][~]Rydia le tiene pánico al fuego debido a una experiencia que vivió hace tiempo en el pueblo de Mist. Aquel día perdió a su familia y ahora ve el infierno que se los llevó hasta en la llama de una vela. Está intentando superar esa fobia por todos los medios...[~]
CHARACTER_JITEN_25_3;[#ff368c79]Una infancia normal[/#][~]La Rydia original maduró de forma especial durante el tiempo que pasó en el Limbo, pero aquí en Grymoire alcanzó la madurez como cualquier otra persona. Gracias a su infancia normal, es un poco más extrovertida que en otras apariciones. La madre de Rydia también era invocadora, y eso hace de ambas un caso especial, pues en Grymoire los pezquecos no heredan tales poderes de sus progenitores.[~]
CHARACTER_JITEN_25_4;[#ff368c79]Fuego contra fuego[/#][~]Tras conocer a Reynn y Lann, Rydia aprendió a dominar un poco mejor su miedo al fuego. Todavía le queda mucho por hacer para superar su fobia por completo, pero al menos ya ha empezado el proceso.[~]
CHARACTER_JITEN_25_5;[#ff368c79]El guardián materno[/#][~]Cuando un guardián pierde al invocador que lo trajo al mundo, también se queda sin la fuente de magia que le permite quedarse en él. Cuando la magia que el invocador original empleó para invocar un ser acaba por desvanecerse del todo, la invocación vuelve a su lugar de origen. Sin embargo, los guardianes son entidades poderosas e inteligentes, por lo que son capaces de buscar fuentes alternativas de poder mágico para permanecer en su mundo de adopción durante más tiempo si así lo desean. La dragona de Rydia es uno de esos mirages.[~]
CHARACTER_JITEN_25_6;"[#ff368c79]Escapar del prismárium[/#][~]De entre los mirages que Reynn y Lann capturan, algunos, como los heptarcas, son tan poderosos que solamente pueden ser encerrados en un prismárium si ellos así lo desean. Se alimentan de su propia magia y vagan por el mundo incluso cuando sus almas están capturadas, aunque, eso sí, si su amo los invoca, se teletransportan inmediatamente allí donde se requiera su presencia. En realidad, solamente pueden escapar si su amo no presta atención. Para entenderlo mejor, hay que imaginar que cada prismárium tiene una especie de puerta que da al exterior
CHARACTER_JITEN_26_VOICEACTOR;Voz inglesa por Troy Baker[~]Voz japonesa por Daisuke Ono
CHARACTER_JITEN_26_ORIGINAL;Mundo de origen[~]Final Fantasy XIII
CHARACTER_JITEN_26_1;[#ff368c79]Edad en Grymoire[/#][~]21 años[~][~][#ff368c79]Características en Grymoire[/#][~]Lleva un pañuelo en la cabeza y tiene una personalidad un tanto alocada. No duda en ayudar a quienquiera que esté en peligro y... sabe croar.[~]
CHARACTER_JITEN_26_2;[#ff368c79]Mitad rana, mitad hombre[/#][~]Snow estaba cruzando el pantano cuando vio una rana dorada brillando. No pudo contener la curiosidad y cuando la tocó para llevársela... ¡zas! Se convirtió en rana. Lo primero que pensó cuando se vio en esa tesitura no fue en cómo librarse de la maldición, sino en si le gustaría el sabor de las moscas. Snow es así, no lo puede evitar.[~]
CHARACTER_JITEN_26_3;[#ff368c79]Una paliza al flan áureo[/#][~]Puede que golpear seres gelatinosos esté escrito en el destino de Snow. A pesar de las descabelladas circunstancias en las que a menudo transcurren los combates contra sus blandos y amorfos archienemigos, Snow siempre se lo toma muy en serio. Puede que sus enemigos sean temblorosos, pero a él no le tiembla el pulso cuando tiene que darles cera.[~]
CHARACTER_JITEN_26_4;[#ff368c79]La relación entre Snow y Lightning[/#][~]Snow siempre se refiere a Lightning como Light, algo que no le hace nada de gracia a esta. La relación entre Snow y Lightning es prácticamente la misma que tenían en su mundo original, es decir, Lightning es la cuñada de Snow. Por desgracia, la hermana pequeña de Lightning no aparece en esta ocasión, pero quizá algún día aparezca en este mundo como protectora.[~]
CHARACTER_JITEN_26_5;"[#ff368c79]De invocador, nada[/#][~]Snow es capaz de invocar un mirage único: Shiva-Ixion. Él parece tener muy claro que no es invocador
CHARACTER_JITEN_27_VOICEACTOR;Voz inglesa por Ali Hillis[~]Voz japonesa por Maaya Sakamoto
CHARACTER_JITEN_27_ORIGINAL;Mundo de origen[~]Final Fantasy XIII
CHARACTER_JITEN_27_1;[#ff368c79]Edad en Grymoire[/#][~]21 años[~][~][#ff368c79]Características en Grymoire[/#][~]Una mujer noble que siempre se preocupa por los demás. También es una fiera espadachina y una de las mejores guerreras de su tiempo.[~]
CHARACTER_JITEN_27_2;[#ff368c79]A través del tiempo[/#][~]Lightning tiene un aspecto inmejorable con su vestuario de Lightning Returns: Final Fantasy. Si tenemos en cuenta esa línea temporal, su alma tendría unos 500 años, y esa es sin duda la razón por la que ya es considerada una leyenda a pesar de tener solamente 21 años, y eso sin haberse transformado aún en protectora. Sus habilidades sobrenaturales llamaron la atención de Quistis y Squall, que la persiguieron y la convencieron para que se uniese a la Liga de los S.[~]
CHARACTER_JITEN_27_3;[#ff368c79]Descuidada[/#][~]Lightning parece tener bastantes descuidos en Grymoire... Por ejemplo, no se dio cuenta del veneno en las bebidas que tomó junto a Reynn y Lann y permitió así que el enemigo se saliera con la suya... Quizá se deba a que las responsabilidades que tiene en este mundo son sustancialmente menores y no se ha visto en situaciones como las que vivió su encarnación original. También es cierto que confía plenamente en sus aliados de la Liga de los S. Puede que la tranquilidad que le proporciona esa confianza haga que se relaje demasiado. Al fin y al cabo, Lightning también es una persona de carne y hueso.[~]
CHARACTER_JITEN_27_4;[#ff368c79]Mira y aprende[/#][~]Muchos desearían conocer la técnica Sable justiciero de Odín para poder acabar con sus enemigos de un solo golpe. Sin embargo, no es tan sencillo: dominar una técnica no significa ser capaz de efectuar unos simples movimientos en un orden determinado. Para que funcione con la máxima eficacia, hace falta un gran poder y mucha habilidad. Esa es la razón por la que Odín se queda tan sorprendido al comprobar la calidad de la técnica de Lightning. A pesar de ser una copia, la destreza con la que la lleva a cabo demuestra que es una verdadera maestra de la espada. Lo primero que Lightning pensó en hacer con esa técnica fue ir a la aldea de Serah, su hermana pequeña, y acabar de una vez por todas con la amenaza del flan áureo, o <QUOT>bamboleiro<QUOT>, como lo llama Snow.
CHARACTER_JITEN_28_VOICEACTOR;Voz inglesa por Ray Chase[~]Voz japonesa por Shinichiro Miki
CHARACTER_JITEN_28_ORIGINAL;Mundo de origen[~]Final Fantasy VI
CHARACTER_JITEN_28_1;[#ff368c79]Edad en Grymoire[/#][~]27 años[~][~][#ff368c79]Características en Grymoire[/#][~]Rey de Fígaro y dueño de su castillo. Es un verdadero seductor que siempre trata a las mujeres con respeto y amabilidad.[~]
CHARACTER_JITEN_28_2;[#ff368c79]Una debilidad[/#][~]Edgar tiene un dilema que no sabe cómo resolver: por un lado siente un deseo irreprimible de flirtear con todas las chicas que conoce pero, por otro, sabe que si lo hace ninguna querrá saber nada de él...[~]
CHARACTER_JITEN_28_3;[#ff368c79]El Castillo de Fígaro[/#][~]Este castillo domina las dunas desde la loma en la que está erigido. Aunque lleva la cadena como marca de pertenencia a la Federación, cuenta con algunas funcionalidades un tanto especiales.[~]
CHARACTER_JITEN_28_4;[#ff368c79]El Castillo de Fígaro, Midgar y la prisión subterránea[/#][~]El Castillo de Fígaro es uno de los edificios más misteriosos de todo Grymoire. Lo primero que llama la atención es su capacidad de enterrarse bajo la arena. ¿Qué clase de mecanismos son capaces de algo así? Por si fuera poco, se encuentra sobre las instalaciones de Midgar y sobre el Reactor Mako 0. Si a eso añadimos un personaje salido de Final Fantasy IX, Vivi, y una zona subterránea con la misma apariencia que la Prisión de la Zona D de Final Fantasy VIII, el resultado es una combinación que puede desconcertar al más pintado de los exploradores.[~]
CHARACTER_JITEN_28_5;"[#ff368c79]Edificios vivientes[/#][~]Como ya ha explicado Enna Kros, en todos los mundos A hay eidolones que adoptan la apariencia de objetos inanimados, como edificios o armas. En Grymoire hay cuatro ejemplos de este tipo de seres: el Gran Puente Alejandro, Edén de Balamb, el Laúd de Ragnarok y Midgardsormr. De hecho, en Grymoire hay otro edificio viviente, pero eso es otra historia... Eiko cuida del Gran Puente
CHARACTER_JITEN_29_VOICEACTOR;Voz inglesa por Crispin Freeman[~]Voz japonesa por Masaya Onosaka
CHARACTER_JITEN_29_ORIGINAL;Mundo de origen[~]World of Final Fantasy
CHARACTER_JITEN_29_1;[#ff368c79]Características en Grymoire[/#][~]Capitán del ejército de Fígaro. Nadie conoce su verdadero nombre, ni siquiera él mismo, y está dispuesto a sacrificarse por el bien de su reino.[~]
CHARACTER_JITEN_29_2;[#ff368c79]Maestro del disfraz[/#][~]El capitán se coló en Midgar disfrazado con la intención de ayudar a los dos agentes clave en la liberación de Fígaro: Reynn y Lann. La Federación tiene agentes por todas partes y el capitán ha tenido que forjarse una nueva identidad para confundir a los espías enemigos. No cabe duda de que el capitán es una persona meticulosa que se toma muy en serio sus misiones, aunque lo malo de trabajar así es que en ocasiones se mete demasiado en el papel. De hecho, uno de los efectos secundarios es que adopta la personalidad del personaje incluso después de haber completado la misión, lo cual provoca siempre carcajadas entre sus subalternos.[~]
CHARACTER_JITEN_29_3;[#ff368c79]El caso Vivi[/#][~]El capitán estaba convencido de que Vivi era un espía de la Federación que se dedicaba a obtener información sobre Fígaro a escondidas, pero al final, y a pesar de sus intentos por desenmascararlo, la generosidad y la honradez de Vivi acabaron por convencerlo de su lealtad.
CHARACTER_JITEN_30_VOICEACTOR;Voz inglesa por Doug Erholtz[~]Voz japonesa por Hideo Ishikawa
CHARACTER_JITEN_30_ORIGINAL;Mundo de origen[~]Final Fantasy VIII
CHARACTER_JITEN_30_1;[#ff368c79]Edad en Grymoire[/#][~]17 años[~][~][#ff368c79]Características en Grymoire[/#][~]Un mercenario miembro de SeeD que siempre ha cumplido con éxito todas sus misiones. Blande un sable-pistola y salvó a Lann y Reynn de una situación desesperada haciendo que pareciese fácil.[~]
